file,zfit,ID,Field,Pointing
CAPERS-COSMOS_P1_s000046271_x1d.fits,3.12,46271,COSMOS,1
CAPERS-COSMOS_P1_s000046333_x1d.fits,5.39,46333,COSMOS,1
CAPERS-COSMOS_P1_s000046382_x1d.fits,0.74,46382,COSMOS,1
CAPERS-COSMOS_P1_s000046402_x1d.fits,2.44,46402,COSMOS,1
CAPERS-COSMOS_P1_s000046479_x1d.fits,2.06,46479,COSMOS,1
CAPERS-COSMOS_P1_s000046720_x1d.fits,3.07,46720,COSMOS,1
CAPERS-COSMOS_P1_s000046723_x1d.fits,1.97,46723,COSMOS,1
CAPERS-COSMOS_P1_s000046824_x1d.fits,0.95,46824,COSMOS,1
CAPERS-COSMOS_P1_s000046832_x1d.fits,4.17,46832,COSMOS,1
CAPERS-COSMOS_P1_s000046876_x1d.fits,1.87,46876,COSMOS,1
CAPERS-COSMOS_P1_s000046892_x1d.fits,5.3,46892,COSMOS,1
CAPERS-COSMOS_P1_s000046909_x1d.fits,4.17,46909,COSMOS,1
CAPERS-COSMOS_P1_s000046938_x1d.fits,1.97,46938,COSMOS,1
CAPERS-COSMOS_P1_s000047097_x1d.fits,3.83,47097,COSMOS,1
CAPERS-COSMOS_P1_s000047298_x1d.fits,4.17,47298,COSMOS,1
CAPERS-COSMOS_P1_s000047482_x1d.fits,3.3,47482,COSMOS,1
CAPERS-COSMOS_P1_s000047484_x1d.fits,1.71,47484,COSMOS,1
CAPERS-COSMOS_P1_s000047883_x1d.fits,4.32,47883,COSMOS,1
CAPERS-COSMOS_P1_s000047889_x1d.fits,1.16,47889,COSMOS,1
CAPERS-COSMOS_P1_s000048023_x1d.fits,3.61,48023,COSMOS,1
CAPERS-COSMOS_P1_s000048083_x1d.fits,0.66,48083,COSMOS,1
CAPERS-COSMOS_P1_s000048096_x1d.fits,2.08,48096,COSMOS,1
CAPERS-COSMOS_P1_s000048128_x1d.fits,0.66,48128,COSMOS,1
CAPERS-COSMOS_P1_s000048180_x1d.fits,1.3,48180,COSMOS,1
CAPERS-COSMOS_P1_s000048301_x1d.fits,0.95,48301,COSMOS,1
CAPERS-COSMOS_P1_s000048367_x1d.fits,1.15,48367,COSMOS,1
CAPERS-COSMOS_P1_s000048386_x1d.fits,3.09,48386,COSMOS,1
CAPERS-COSMOS_P1_s000048435_x1d.fits,0.39,48435,COSMOS,1
CAPERS-COSMOS_P1_s000048449_x1d.fits,2.83,48449,COSMOS,1
CAPERS-COSMOS_P1_s000048566_x1d.fits,0.88,48566,COSMOS,1
CAPERS-COSMOS_P1_s000048687_x1d.fits,4.42,48687,COSMOS,1
CAPERS-COSMOS_P1_s000048697_x1d.fits,0.72,48697,COSMOS,1
CAPERS-COSMOS_P1_s000048844_x1d.fits,0.54,48844,COSMOS,1
CAPERS-COSMOS_P1_s000048887_x1d.fits,2.66,48887,COSMOS,1
CAPERS-COSMOS_P1_s000048893_x1d.fits,4.44,48893,COSMOS,1
CAPERS-COSMOS_P1_s000048990_x1d.fits,0.8,48990,COSMOS,1
CAPERS-COSMOS_P1_s000048995_x1d.fits,1.97,48995,COSMOS,1
CAPERS-COSMOS_P1_s000049055_x1d.fits,1.4,49055,COSMOS,1
CAPERS-COSMOS_P1_s000049102_x1d.fits,1.67,49102,COSMOS,1
CAPERS-COSMOS_P1_s000049103_x1d.fits,2.55,49103,COSMOS,1
CAPERS-COSMOS_P1_s000049217_x1d.fits,1.34,49217,COSMOS,1
CAPERS-COSMOS_P1_s000049293_x1d.fits,3.02,49293,COSMOS,1
CAPERS-COSMOS_P1_s000049294_x1d.fits,2.59,49294,COSMOS,1
