file,z
CAPERS_UDS_P2_s000143064_x1d.fits,nan
CAPERS_UDS_P2_s000005378_x1d.fits,2.9947825752381725
CAPERS_UDS_P2_s000007032_x1d.fits,nan
CAPERS_UDS_P2_s000011824_x1d.fits,nan
CAPERS_UDS_P2_s000115968_x1d.fits,0.9151268782481381
CAPERS_UDS_P2_s000133089_x1d.fits,7.775199842900603
CAPERS_UDS_P2_s000007192_x1d.fits,1.1879068743761176
CAPERS_UDS_P2_s000007555_x1d.fits,nan
CAPERS_UDS_P2_s000009677_x1d.fits,4.448209279926804
CAPERS_UDS_P2_s000116237_x1d.fits,nan
CAPERS_UDS_P2_s000148930_x1d.fits,3.972781110290808
CAPERS_UDS_P2_s000010848_x1d.fits,nan
CAPERS_UDS_P2_s000135897_x1d.fits,2.1027113912775532
CAPERS_UDS_P2_s000138774_x1d.fits,nan
CAPERS_UDS_P2_s000133935_x1d.fits,2.4049518875245295
CAPERS_UDS_P2_s000149372_x1d.fits,nan
CAPERS_UDS_P2_s000017467_x1d.fits,1.489414008746655
CAPERS_UDS_P2_s000133407_x1d.fits,nan
CAPERS_UDS_P2_s000009469_x1d.fits,1.1678648572113786
CAPERS_UDS_P2_s000012314_x1d.fits,0.9419277788089473
CAPERS_UDS_P2_s000008903_x1d.fits,nan
CAPERS_UDS_P2_s000006009_x1d.fits,nan
CAPERS_UDS_P2_s000136553_x1d.fits,nan
CAPERS_UDS_P2_s000152950_x1d.fits,nan
CAPERS_UDS_P2_s000006802_x1d.fits,nan
CAPERS_UDS_P2_s000148367_x1d.fits,nan
CAPERS_UDS_P2_s000006050_x1d.fits,2.2897974938749086
CAPERS_UDS_P2_s000014659_x1d.fits,nan
CAPERS_UDS_P2_s000016589_x1d.fits,4.590094285785545
CAPERS_UDS_P2_s000007979_x1d.fits,3.6058549725498965
CAPERS_UDS_P2_s000005474_x1d.fits,nan
CAPERS_UDS_P2_s000007631_x1d.fits,nan
CAPERS_UDS_P2_s000119324_x1d.fits,nan
CAPERS_UDS_P2_s000014285_x1d.fits,2.0346430536037388
CAPERS_UDS_P2_s000151428_x1d.fits,nan
CAPERS_UDS_P2_s000012695_x1d.fits,0.8812991416474296
CAPERS_UDS_P2_s000145331_x1d.fits,nan
CAPERS_UDS_P2_s000014139_x1d.fits,4.138063706965034
CAPERS_UDS_P2_s000009725_x1d.fits,1.9514574923628647
CAPERS_UDS_P2_s000016427_x1d.fits,nan
CAPERS_UDS_P2_s000008776_x1d.fits,1.106554566696797
CAPERS_UDS_P2_s000014839_x1d.fits,nan
CAPERS_UDS_P2_s000128104_x1d.fits,nan
CAPERS_UDS_P2_s000143568_x1d.fits,5.157990008598558
CAPERS_UDS_P2_s000152669_x1d.fits,nan
CAPERS_UDS_P2_s000005811_x1d.fits,3.1048664445832026
CAPERS_UDS_P2_s000117201_x1d.fits,nan
CAPERS_UDS_P2_s000118617_x1d.fits,nan
CAPERS_UDS_P2_s000147580_x1d.fits,nan
CAPERS_UDS_P2_s000013471_x1d.fits,1.5082655907248652
CAPERS_UDS_P2_s000005933_x1d.fits,nan
CAPERS_UDS_P2_s000128156_x1d.fits,3.416114440668075
CAPERS_UDS_P2_s000009628_x1d.fits,3.9708450009586187
CAPERS_UDS_P2_s000159732_x1d.fits,nan
CAPERS_UDS_P2_s000134610_x1d.fits,3.6914576627023923
CAPERS_UDS_P2_s000129019_x1d.fits,3.8233324591749858
CAPERS_UDS_P2_s000007893_x1d.fits,4.201666755592464
CAPERS_UDS_P2_s000014494_x1d.fits,1.8057014582660447
CAPERS_UDS_P2_s000007366_x1d.fits,nan
CAPERS_UDS_P2_s000148119_x1d.fits,2.2140069648799052
CAPERS_UDS_P2_s000148887_x1d.fits,nan
CAPERS_UDS_P2_s000015772_x1d.fits,4.633446754560705
CAPERS_UDS_P2_s000127376_x1d.fits,nan
CAPERS_UDS_P2_s000014455_x1d.fits,nan
CAPERS_UDS_P2_s000138370_x1d.fits,nan
CAPERS_UDS_P2_s000014464_x1d.fits,2.328741680059172
CAPERS_UDS_P2_s000150803_x1d.fits,nan
CAPERS_UDS_P2_s000149049_x1d.fits,nan
CAPERS_UDS_P2_s000136057_x1d.fits,nan
CAPERS_UDS_P2_s000131428_x1d.fits,nan
CAPERS_UDS_P2_s000005922_x1d.fits,nan
CAPERS_UDS_P2_s000016811_x1d.fits,nan
CAPERS_UDS_P2_s000132410_x1d.fits,nan
CAPERS_UDS_P2_s000139408_x1d.fits,4.922815194130671
CAPERS_UDS_P2_s000008984_x1d.fits,nan
CAPERS_UDS_P2_s000012688_x1d.fits,nan
CAPERS_UDS_P2_s000016900_x1d.fits,1.6009467141068456
CAPERS_UDS_P2_s000148322_x1d.fits,nan
CAPERS_UDS_P2_s000013194_x1d.fits,4.515895966929258
CAPERS_UDS_P2_s000012502_x1d.fits,6.6723164144711
CAPERS_UDS_P2_s000009068_x1d.fits,nan
CAPERS_UDS_P2_s000012701_x1d.fits,nan
CAPERS_UDS_P2_s000147991_x1d.fits,3.609811057155132
CAPERS_UDS_P2_s000140510_x1d.fits,2.6532285567265155
CAPERS_UDS_P2_s000011192_x1d.fits,3.1398317341988307
CAPERS_UDS_P2_s000144628_x1d.fits,nan
CAPERS_UDS_P2_s000017133_x1d.fits,nan
CAPERS_UDS_P2_s000005304_x1d.fits,0.041252911317898766
CAPERS_UDS_P2_s000012531_x1d.fits,nan
CAPERS_UDS_P2_s000127325_x1d.fits,nan
CAPERS_UDS_P2_s000006582_x1d.fits,nan
CAPERS_UDS_P2_s000134656_x1d.fits,nan
CAPERS_UDS_P2_s000006363_x1d.fits,3.9591478721476943
CAPERS_UDS_P2_s000144536_x1d.fits,nan
CAPERS_UDS_P2_s000153422_x1d.fits,nan
CAPERS_UDS_P2_s000128846_x1d.fits,4.628079836635693
CAPERS_UDS_P2_s000006054_x1d.fits,3.5696108438938507
CAPERS_UDS_P2_s000133761_x1d.fits,nan
CAPERS_UDS_P2_s000143346_x1d.fits,nan
CAPERS_UDS_P2_s000009159_x1d.fits,0.865730258026641
CAPERS_UDS_P2_s000133554_x1d.fits,nan
CAPERS_UDS_P2_s000117317_x1d.fits,nan
CAPERS_UDS_P2_s000149453_x1d.fits,nan
CAPERS_UDS_P2_s000017122_x1d.fits,nan
CAPERS_UDS_P2_s000016264_x1d.fits,nan
CAPERS_UDS_P2_s000140035_x1d.fits,3.1284274502573837
CAPERS_UDS_P2_s000013964_x1d.fits,nan
CAPERS_UDS_P2_s000005510_x1d.fits,4.545139979382868
CAPERS_UDS_P2_s000147511_x1d.fits,nan
CAPERS_UDS_P2_s000146773_x1d.fits,nan
CAPERS_UDS_P2_s000128077_x1d.fits,nan
CAPERS_UDS_P2_s000118235_x1d.fits,nan
CAPERS_UDS_P2_s000012702_x1d.fits,nan
CAPERS_UDS_P2_s000006806_x1d.fits,2.0039309656113256
CAPERS_UDS_P2_s000116619_x1d.fits,nan
CAPERS_UDS_P2_s000132283_x1d.fits,6.606181218425552
CAPERS_UDS_P2_s000004854_x1d.fits,4.554607251277879
CAPERS_UDS_P2_s000002822_x1d.fits,2.2832269059727146
CAPERS_UDS_P2_s000008972_x1d.fits,2.879722727156986
CAPERS_UDS_P2_s000136645_x1d.fits,nan
CAPERS_UDS_P2_s000138106_x1d.fits,nan
CAPERS_UDS_P2_s000133962_x1d.fits,nan
CAPERS_UDS_P2_s000013920_x1d.fits,nan
CAPERS_UDS_P2_s000013482_x1d.fits,3.097583028687816
CAPERS_UDS_P2_s000129566_x1d.fits,nan
CAPERS_UDS_P2_s000122118_x1d.fits,nan
CAPERS_UDS_P2_s000011470_x1d.fits,nan
CAPERS_UDS_P2_s000144353_x1d.fits,nan
CAPERS_UDS_P2_s000016144_x1d.fits,3.2108130450255388
CAPERS_UDS_P2_s000011584_x1d.fits,nan
CAPERS_UDS_P2_s000146878_x1d.fits,nan
CAPERS_UDS_P2_s000118477_x1d.fits,nan
CAPERS_UDS_P2_s000009021_x1d.fits,nan
CAPERS_UDS_P2_s000015867_x1d.fits,2.1970136870012658
CAPERS_UDS_P2_s000137847_x1d.fits,nan
CAPERS_UDS_P2_s000137678_x1d.fits,2.604112996154139
CAPERS_UDS_P2_s000014440_x1d.fits,1.403496648347709
CAPERS_UDS_P2_s000009160_x1d.fits,2.4928133751023713
CAPERS_UDS_P2_s000004679_x1d.fits,1.8924766309679875
CAPERS_UDS_P2_s000132382_x1d.fits,nan
CAPERS_UDS_P2_s000126100_x1d.fits,nan
CAPERS_UDS_P2_s000134281_x1d.fits,2.199851242267702
CAPERS_UDS_P2_s000159920_x1d.fits,nan
CAPERS_UDS_P2_s000006309_x1d.fits,0.908277165325478
CAPERS_UDS_P2_s000014530_x1d.fits,nan
CAPERS_UDS_P2_s000013617_x1d.fits,nan
CAPERS_UDS_P2_s000114785_x1d.fits,nan
CAPERS_UDS_P2_s000016939_x1d.fits,nan
CAPERS_UDS_P2_s000010904_x1d.fits,1.8318096497636462
CAPERS_UDS_P2_s000136259_x1d.fits,nan
CAPERS_UDS_P2_s000008559_x1d.fits,nan
CAPERS_UDS_P2_s000142813_x1d.fits,nan
CAPERS_UDS_P2_s000012969_x1d.fits,1.6551849094007647
CAPERS_UDS_P2_s000017982_x1d.fits,nan
CAPERS_UDS_P2_s000138014_x1d.fits,2.1034568362257926
CAPERS_UDS_P2_s000007583_x1d.fits,2.529079236121432
CAPERS_UDS_P2_s000143579_x1d.fits,2.7933900633900137
CAPERS_UDS_P2_s000012158_x1d.fits,1.4389065928580114
CAPERS_UDS_P2_s000134065_x1d.fits,nan
CAPERS_UDS_P2_s000142583_x1d.fits,nan
CAPERS_UDS_P2_s000152268_x1d.fits,nan
CAPERS_UDS_P2_s000013189_x1d.fits,nan
CAPERS_UDS_P2_s000142615_x1d.fits,7.767780153866131
CAPERS_UDS_P2_s000139736_x1d.fits,nan
CAPERS_UDS_P2_s000006673_x1d.fits,nan
CAPERS_UDS_P2_s000006684_x1d.fits,3.5151683844704813
CAPERS_UDS_P2_s000007599_x1d.fits,nan
CAPERS_UDS_P2_s000012817_x1d.fits,nan
CAPERS_UDS_P2_s000134119_x1d.fits,7.340894235497062
CAPERS_UDS_P2_s000150061_x1d.fits,nan
CAPERS_UDS_P2_s000135482_x1d.fits,2.6260596953967816
CAPERS_UDS_P2_s000012190_x1d.fits,2.0977893453281538
CAPERS_UDS_P2_s000013850_x1d.fits,nan
CAPERS_UDS_P2_s000005645_x1d.fits,1.0460458119710285
CAPERS_UDS_P2_s000016388_x1d.fits,1.674961223415636
CAPERS_UDS_P2_s000008872_x1d.fits,nan
CAPERS_UDS_P2_s000008905_x1d.fits,nan
CAPERS_UDS_P2_s000011312_x1d.fits,nan
CAPERS_UDS_P2_s000012753_x1d.fits,nan
CAPERS_UDS_P2_s000009704_x1d.fits,nan
CAPERS_UDS_P2_s000131422_x1d.fits,nan
CAPERS_UDS_P2_s000147730_x1d.fits,nan
CAPERS_UDS_P2_s000006445_x1d.fits,1.067857620028981
CAPERS_UDS_P2_s000012474_x1d.fits,1.4223235001128822
CAPERS_UDS_P2_s000014456_x1d.fits,2.338679596885893
CAPERS_UDS_P2_s000012658_x1d.fits,2.2404068565228834
CAPERS_UDS_P2_s000147066_x1d.fits,6.829859939096739
CAPERS_UDS_P2_s000005010_x1d.fits,nan
CAPERS_UDS_P2_s000131222_x1d.fits,nan
CAPERS_UDS_P2_s000139114_x1d.fits,nan
CAPERS_UDS_P2_s000134758_x1d.fits,nan
CAPERS_UDS_P2_s000009644_x1d.fits,1.3398552679934617
CAPERS_UDS_P2_s000119600_x1d.fits,4.067219533247935
CAPERS_UDS_P2_s000011625_x1d.fits,2.2627526242141225
CAPERS_UDS_P2_s000013394_x1d.fits,nan
CAPERS_UDS_P2_s000005643_x1d.fits,7.933683676897754
CAPERS_UDS_P2_s000150155_x1d.fits,nan
CAPERS_UDS_P2_s000144498_x1d.fits,nan
CAPERS_UDS_P2_s000005146_x1d.fits,nan
CAPERS_UDS_P2_s000127603_x1d.fits,1.3521104686532115
CAPERS_UDS_P2_s000014523_x1d.fits,nan
CAPERS_UDS_P2_s000012416_x1d.fits,3.986652433693659
CAPERS_UDS_P2_s000134193_x1d.fits,nan
CAPERS_UDS_P2_s000132232_x1d.fits,nan
CAPERS_UDS_P2_s000006820_x1d.fits,4.208337959058216
