ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
108988,34.480359480517926,-5.180463902550327,16.59,16.569999999999872,27.1153715508324,27.2464182809652,27.760460928060624,1584893,1,6,6,6,17069.0013,Midpoint
126973,34.26443915016385,-5.096231560146711,11.95,12.219999999999931,27.026722693199723,27.117580171433936,27.12066678976234,1584893,3,0,6,6,11379.3342,Midpoint
76202,34.46125706163017,-5.257870484416676,11.9,11.79999999999994,27.570233248891384,27.89871336954699,27.79281591042604,1584893,5,6,0,0,5689.6671,Midpoint
130191,34.25171549756632,-5.107387251549008,10.94,10.989999999999958,27.202520121546968,27.410691016699623,27.286808188652245,1584893,3,0,6,6,11379.3342,Midpoint
82699,34.413554687815925,-5.244245289867122,10.45,10.449999999999967,27.82376323303309,27.606535340530343,27.36903884030572,1584893,5,6,0,0,5689.6671,Midpoint
28597,34.46514197613664,-5.217734884174873,10.15,10.299999999999972,26.747311898058623,26.69269009993875,26.69285037272457,1584893,5,6,0,0,5689.6671,Midpoint
136645,34.45602256448263,-5.121951582252356,9.94,9.07,27.146397697545268,27.26547000993324,27.137812924992723,1584893,2,6,0,6,11379.3342,Midpoint
119497,34.51448433858817,-5.159219057057648,9.55,9.45999999999999,27.780002842442947,27.35608071045872,27.71799375076844,1584893,1,6,6,6,17069.0013,Midpoint
127376,34.436058608163286,-5.101415754554393,9.48,9.48999999999999,27.63348418630656,27.67363168569472,27.542962620074555,1584893,2,6,0,6,11379.3342,Midpoint
137026,34.23401605322426,-5.122855531549777,16.45,16.449999999999868,27.73856562394977,28.252562047074427,29.68184386459304,794328,3,0,6,6,11379.3342,Midpoint
93318,34.47816924749352,-5.219665528547486,12.43,12.429999999999929,27.983035406556542,28.20317136107856,27.648378573265383,794328,5,6,0,0,5689.6671,Midpoint
123562,34.22606698699177,-5.091965437951901,12.29,12.27999999999993,27.75240340325909,27.707340162397635,28.002098822882857,794328,3,0,6,6,11379.3342,Midpoint
123090,34.22771976979147,-5.0910190447803,11.65,11.649999999999944,26.762089681947337,26.98266916800778,26.91519171167108,794328,3,0,6,6,11379.3342,Midpoint
140035,34.45975496535422,-5.128895659617843,11.1,11.169999999999954,28.031337640092204,28.39580760458612,28.12692137160817,794328,2,6,0,6,11379.3342,Midpoint
117960,34.47413840764987,-5.16053745989577,10.52,11.079999999999956,28.080242874639616,28.51258988976128,27.951575130848795,794328,1,6,6,6,17069.0013,Midpoint
13189,34.41929472423387,-5.14598381087994,9.85,10.659999999999965,26.456078043666835,26.17284368346138,25.732383637641163,794328,2,6,0,6,11379.3342,Midpoint
142042,34.24939760939854,-5.130832855234467,9.72,9.099999999999998,28.112514253353908,28.124856904644545,28.079437138029,794328,3,0,6,6,11379.3342,Midpoint
22431,34.46025730225079,-5.185002706641847,9.31,9.309999999999992,27.013698328490577,27.0358636356582,27.194105507994784,794328,1,6,6,6,17069.0013,Midpoint
146485,34.24979057904863,-5.142104715680116,9.11,9.07,27.38086072794598,27.52389877925957,27.390192620720136,794328,3,0,6,6,11379.3342,EOSA
132353,34.21451662190074,-5.112473006268741,9.01,9.129999999999995,27.6347225244281,27.527005915517115,27.117588188587632,794328,3,0,6,6,11379.3342,Midpoint
11422,34.24673879314712,-5.138236268315961,7.03,11.709999999999942,27.05875492958165,26.93498680284467,26.811658795336868,794328,3,0,6,6,11379.3342,Midpoint
15322,34.41984008243699,-5.154228158943334,,4.779999999999995,24.341129721623364,24.320746920066256,24.064401447773264,562341,2,6,0,6,11379.3342,Midpoint
151513,34.42340061342404,-5.1511599170044,15.24,13.779999999999898,27.88666797363242,27.73217028113361,27.63495875058532,398107,2,6,0,6,11379.3342,Midpoint
142077,34.2622892457102,-5.132563436121528,13.25,0.3700000000000001,27.83976463311238,28.190380249046363,27.99457843302948,398107,3,0,6,6,11379.3342,Midpoint
112891,34.52123531017988,-5.171884054867971,12.31,3.3999999999999924,27.0560498617575,27.157536964473067,27.08229923706452,398107,1,6,6,6,17069.0013,Midpoint
103825,34.43009858752146,-5.193296646443284,12.14,12.099999999999934,27.62946509552188,27.89787632980641,27.864629337472728,398107,5,6,0,0,5689.6671,Midpoint
91508,34.46052367544984,-5.223586114956161,11.95,11.949999999999935,28.329374207235944,28.503457584886768,28.158309499241994,398107,5,6,0,0,5689.6671,Midpoint
115417,34.50292497288331,-5.166244917267281,10.54,10.539999999999967,27.534297914022098,27.36255024092149,28.4484883097538,398107,1,6,6,6,17069.0013,Midpoint
89601,34.418918593592174,-5.227817628328717,10.45,10.449999999999967,28.12100915765936,27.81166537176181,26.98641406667923,398107,5,6,0,0,5689.6671,Midpoint
119232,34.49226741547855,-5.158452829954034,8.83,9.279999999999994,27.94817648967723,27.88160670420613,28.120599817648248,398107,1,2,6,4,11379.3342,Midpoint
35414,34.45271249164631,-5.249284557375363,6.67,2.529999999999998,26.93414978591732,27.07636623383629,27.056385305497137,398107,5,6,0,0,5689.6671,Midpoint
104948,34.49268875495403,-5.190363670189299,11.99,1.0000000000000009,27.783838426453062,27.658839887457223,27.96672935638604,199526,1,6,6,6,17069.0013,Midpoint
152881,34.42157277364789,-5.154072240675759,11.27,0.31,27.84390552067821,28.26185053431112,27.92410064843002,199526,2,6,0,6,11379.3342,Midpoint
101814,34.480273707169005,-5.198283545242131,11.12,0.13,27.10858267867528,27.44727603303872,27.20675642567295,199526,1,0,5,0,4741.38925,Midpoint
111918,34.51004811545636,-5.174086033742439,9.68,1.0900000000000007,27.46423438850318,27.253528518873743,27.413556642081787,199526,1,6,6,6,17069.0013,Midpoint
28042,34.45490326613852,-5.214710344499845,9.02,1.990000000000001,25.745226197196864,25.60767323040473,25.58067370064697,199526,5,6,0,0,5689.6671,Midpoint
95095,34.45489323622821,-5.215585874005761,3.95,0.7000000000000004,27.49618980619825,27.4340224875248,27.607364736358704,199526,5,6,0,0,5689.6671,Midpoint
