ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
108988,34.480359480517926,-5.180463902550327,16.59,16.569999999999872,27.1153715508324,27.2464182809652,27.760460928060624,1584893,1,6,6,6,17069.0013,Midpoint
111893,34.292009620838314,-5.174139762277137,12.76,12.75999999999992,28.14332149141173,27.89597849864468,28.042161302212897,1584893,6,6,6,6,17069.0013,Midpoint
81025,34.513930262519644,-5.247857973332685,12.16,14.19999999999989,28.361372741151712,28.505347643612488,28.16808555059295,1584893,4,6,6,6,17069.0013,Midpoint
126973,34.26443915016385,-5.096231560146711,11.95,12.219999999999931,27.026722693199723,27.117580171433936,27.12066678976234,1584893,3,6,6,6,17069.0013,Midpoint
76202,34.46125706163017,-5.257870484416676,11.9,11.79999999999994,27.570233248891384,27.89871336954699,27.79281591042604,1584893,5,6,6,6,17069.0013,Midpoint
60627,34.320722122244696,-5.292359433322146,11.56,11.559999999999944,27.15163028714104,27.188160358451867,26.977332602884275,1584893,7,6,6,6,17069.0013,Midpoint
130191,34.25171549756632,-5.107387251549008,10.94,10.989999999999958,27.202520121546968,27.410691016699623,27.286808188652245,1584893,3,6,6,6,17069.0013,Midpoint
82699,34.413554687815925,-5.244245289867122,10.45,10.449999999999967,27.82376323303309,27.606535340530343,27.36903884030572,1584893,5,6,6,6,17069.0013,Midpoint
95796,34.32275415422305,-5.21391054438922,10.43,10.41999999999997,26.97782372562027,26.88199891378595,26.170689482186013,1584893,6,6,6,6,17069.0013,Midpoint
28597,34.46514197613664,-5.217734884174873,10.15,10.299999999999972,26.747311898058623,26.69269009993875,26.69285037272457,1584893,5,6,6,6,17069.0013,Midpoint
70629,34.46689744231708,-5.269839210491788,10.11,10.119999999999976,27.50299430475455,27.55909354970035,27.52259484648592,1584893,4,6,6,6,17069.0013,Midpoint
60476,34.52097489611312,-5.29267563867514,10.0,9.99999999999998,27.01224988499152,27.13550588142742,26.506083696417548,1584893,4,6,6,6,17069.0013,Midpoint
136645,34.45602256448263,-5.121951582252356,9.94,9.07,27.146397697545268,27.26547000993324,27.137812924992723,1584893,2,6,6,6,17069.0013,Midpoint
119497,34.51448433858817,-5.159219057057648,9.55,9.45999999999999,27.780002842442947,27.35608071045872,27.71799375076844,1584893,1,6,6,6,17069.0013,Midpoint
127376,34.436058608163286,-5.101415754554393,9.48,9.48999999999999,27.63348418630656,27.67363168569472,27.542962620074555,1584893,2,6,6,6,17069.0013,Midpoint
88619,34.31913414102888,-5.230137149202535,7.4,0.5500000000000003,27.406537762067828,27.41073833054049,27.86215296183824,1584893,6,6,6,6,17069.0013,Midpoint
137026,34.23401605322426,-5.122855531549777,16.45,16.449999999999868,27.73856562394977,28.252562047074427,29.68184386459304,794328,3,6,6,6,17069.0013,Midpoint
76298,34.303835938765474,-5.257682794266938,16.45,16.449999999999868,27.53438852112143,27.86495623130847,27.97901950622413,794328,7,6,6,6,17069.0013,Midpoint
93318,34.47816924749352,-5.219665528547486,12.43,12.429999999999929,27.983035406556542,28.20317136107856,27.648378573265383,794328,5,6,6,6,17069.0013,Midpoint
123562,34.22606698699177,-5.091965437951901,12.29,12.27999999999993,27.75240340325909,27.707340162397635,28.002098822882857,794328,3,6,6,6,17069.0013,Midpoint
108569,34.29786685052973,-5.181459217379403,12.18,11.919999999999938,27.674320666895103,27.81454362191868,27.562555121985937,794328,6,6,6,6,17069.0013,Midpoint
123090,34.22771976979147,-5.0910190447803,11.65,11.649999999999944,26.762089681947337,26.98266916800778,26.91519171167108,794328,3,6,6,6,17069.0013,Midpoint
140035,34.45975496535422,-5.128895659617843,11.1,11.169999999999954,28.031337640092204,28.39580760458612,28.12692137160817,794328,2,6,6,6,17069.0013,Midpoint
117960,34.47413840764987,-5.16053745989577,10.52,11.079999999999956,28.080242874639616,28.51258988976128,27.951575130848795,794328,1,6,6,6,17069.0013,Midpoint
71332,34.322157620733726,-5.268336684435667,10.31,10.86999999999996,28.09398263551597,28.563688140622418,28.624341742904235,794328,7,6,6,6,17069.0013,Midpoint
