ID,ra,dec,z_med,z_UNICORN,flux_F277W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
39810,150.1335741,2.2710158,16.72,16.72,27.653,3162278,[2, 4],[6, 4],[6, 4],[6, 4],28448.3355,['Midpoint', 'Midpoint']
97160,150.1809331,2.2607514,16.63,16.63,27.359,3162278,[2],[6],[6],[6],17069.0013,['Midpoint']
44863,150.1550173,2.2428039,15.91,15.91,26.935,3162278,[2],[6],[6],[6],17069.0013,['Midpoint']
8032,150.1469806,2.4413196,13.63,14.05,27.788,3162278,[7],[6],[6],[6],17069.0013,['Midpoint']
132792,150.1617772,2.3369178,12.63,12.76,28.208,3162278,[4, 6],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
118750,150.1277624,2.306694,12.2,13.57,27.961,3162278,[4],[6],[6],[6],17069.0013,['Midpoint']
31111,150.118716,2.3146998,11.79,11.92,27.216,3162278,[4],[6],[6],[6],17069.0013,['Midpoint']
84246,150.154505,2.2290374,11.15,11.32,27.609,3162278,[2],[6],[6],[6],17069.0013,['Midpoint']
183727,150.0863078,2.4195576,10.63,10.66,27.186,3162278,[5],[6],[5],[0],10431.056349999999,['Midpoint']
109917,150.1429089,2.288019,10.04,11.05,28.178,3162278,[2, 4],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
52185,150.116567,2.1970555,10.03,9.73,26.736,3162278,[1],[0],[6],[6],11379.3342,['EOSA']
153965,150.1597762,2.3792944,9.27,8.95,27.782,3162278,[6],[6],[6],[6],17069.0013,['Midpoint']
28083,150.132927,2.3294385,7.07,3.04,26.73,3162278,[4],[6],[6],[6],17069.0013,['Midpoint']
300001,150.1165406,2.1971091,,10.0,-1.0,3162278,[1],[6],[0],[0],5689.6671,['Midpoint']
168193,150.160277,2.4640528,8.96,9.85,28.018,2818383,[7],[6],[4],[6],15172.4456,['Midpoint']
17314,150.1263675,2.3837873,8.87,8.95,26.603,2818383,[5],[6],[5],[0],10431.056349999999,['Midpoint']
175516,150.1649785,2.44148,18.52,18.52,27.348,1584893,[7],[6],[6],[6],17069.0013,['Midpoint']
79292,150.1033859,2.2161177,17.41,17.41,27.777,1584893,[1],[6],[6],[6],17069.0013,['Midpoint']
170438,150.1419275,2.4227085,16.99,16.99,27.699,1584893,[7],[6],[6],[6],17069.0013,['Midpoint']
