,sample,id,pointing,MPT_number,z_manual,file_name,Notes
0,CAPERS_COSMOS_V0.2.1,s000002642,P7,2642,3.58511,CAPERS_COSMOS_P7_s000002642_x1d_optext.fits,None
1,CAPERS_COSMOS_V0.2.1,s000002648,P7,2648,-1.0,CAPERS_COSMOS_P7_s000002648_x1d_optext.fits,None
2,CAPERS_COSMOS_V0.2.1,s000002752,P7,2752,-1.0,CAPERS_COSMOS_P7_s000002752_x1d_optext.fits,None
3,CAPERS_COSMOS_V0.2.1,s000002783,P7,2783,3.709169,CAPERS_COSMOS_P7_s000002783_x1d_optext.fits,None
4,CAPERS_COSMOS_V0.2.1,s000002796,P7,2796,-1.0,CAPERS_COSMOS_P7_s000002796_x1d_optext.fits,None
5,CAPERS_COSMOS_V0.2.1,s000002804,P7,2804,1.8004,CAPERS_COSMOS_P7_s000002804_x1d_optext.fits,None
6,CAPERS_COSMOS_V0.2.1,s000002910,P7,2910,4.56409,CAPERS_COSMOS_P7_s000002910_x1d_optext.fits,None
7,CAPERS_COSMOS_V0.2.1,s000002967,P7,2967,1.98,CAPERS_COSMOS_P7_s000002967_x1d_optext.fits,None
8,CAPERS_COSMOS_V0.2.1,s000003010,P7,3010,2.07,CAPERS_COSMOS_P7_s000003010_x1d_optext.fits,None
9,CAPERS_COSMOS_V0.2.1,s000003113,P7,3113,1.550683,CAPERS_COSMOS_P7_s000003113_x1d_optext.fits,None
10,CAPERS_COSMOS_V0.2.1,s000003219,P7,3219,1.741699,CAPERS_COSMOS_P7_s000003219_x1d_optext.fits,None
11,CAPERS_COSMOS_V0.2.1,s000003255,P7,3255,-1.0,CAPERS_COSMOS_P7_s000003255_x1d_optext.fits,No lines but intense continuum
12,CAPERS_COSMOS_V0.2.1,s000003295,P7,3295,-1.0,CAPERS_COSMOS_P7_s000003295_x1d.fits,None
13,CAPERS_COSMOS_V0.2.1,s000003306,P7,3306,5.83,CAPERS_COSMOS_P7_s000003306_x1d_optext.fits,None
14,CAPERS_COSMOS_V0.2.1,s000003315,P7,3315,-1.0,CAPERS_COSMOS_P7_s000003315_x1d.fits,None
15,CAPERS_COSMOS_V0.2.1,s000003327,P7,3327,1.54,CAPERS_COSMOS_P7_s000003327_x1d_optext.fits,None
16,CAPERS_COSMOS_V0.2.1,s000003393,P7,3393,1.564352,CAPERS_COSMOS_P7_s000003393_x1d_optext.fits,None
17,CAPERS_COSMOS_V0.2.1,s000003412,P7,3412,-1.0,CAPERS_COSMOS_P7_s000003412_x1d_optext.fits,No lines but intense continuum
18,CAPERS_COSMOS_V0.2.1,s000003426,P7,3426,1.57,CAPERS_COSMOS_P7_s000003426_x1d_optext.fits,None
19,CAPERS_COSMOS_V0.2.1,s000003490,P7,3490,1.7,CAPERS_COSMOS_P7_s000003490_x1d_optext.fits,None
20,CAPERS_COSMOS_V0.2.1,s000003544,P7,3544,-1.0,CAPERS_COSMOS_P7_s000003544_x1d_optext.fits,None
21,CAPERS_COSMOS_V0.2.1,s000003550,P7,3550,4.43,CAPERS_COSMOS_P7_s000003550_x1d_optext.fits,None
