ID,ra,dec,z_med,z_UNICORN
39810,150.1335741,2.2710158,16.72,16.72
97160,150.1809331,2.2607514,16.63,16.63
44863,150.1550173,2.2428039,15.91,15.91
8032,150.1469806,2.4413196,13.63,14.05
132792,150.1617772,2.3369178,12.63,12.76
118750,150.1277624,2.306694,12.2,13.57
31111,150.118716,2.3146998,11.79,11.92
84246,150.154505,2.2290374,11.15,11.32
183727,150.0863078,2.4195576,10.63,10.66
109917,150.1429089,2.288019,10.04,11.05
52185,150.116567,2.1970555,10.03,9.73
153965,150.1597762,2.3792944,9.27,8.95
28083,150.132927,2.3294385,7.07,3.04
300001,150.1165406,2.1971091,,10.0
168193,150.160277,2.4640528,8.96,9.85
17314,150.1263675,2.3837873,8.87,8.95
175516,150.1649785,2.44148,18.52,18.52
79292,150.1033859,2.2161177,17.41,17.41
170438,150.1419275,2.4227085,16.99,16.99
77785,150.1171847,2.2123501,16.21,16.21
214191,150.1339393,2.4493743,15.88,15.88
108970,150.063158,2.2860631,15.64,15.64
185250,150.0758053,2.4115253,15.52,15.52
34655,150.0807516,2.2974007,15.43,15.43
132380,150.1443907,2.3359567,15.25,15.25
102896,150.0933178,2.2731591,15.13,15.13
140909,150.1953058,2.3529021,14.92,14.92
150288,150.1095749,2.3715185,14.35,14.35
161947,150.1487656,2.474858,14.11,14.11
186072,150.0773698,2.4096819,13.84,13.84
65404,150.1211199,2.1726987,13.75,13.75
37362,150.185624,2.2836737,11.69,11.86
16414,150.1773263,2.3885631,11.46,11.47
143872,150.1845854,2.3586081,10.89,10.87
181882,150.0805061,2.4105739,10.65,10.93
64910,150.1353638,2.1704769,10.55,10.39
159675,150.18045,2.391961,10.54,11.44
148088,150.1565823,2.3672898,10.48,10.21
109633,150.0656288,2.287479,8.73,8.8
156406,150.0967053,2.3848476,11.89,11.89
116486,150.1760357,2.3019911,10.8,10.99
4771,150.1610287,2.4658044,10.42,10.42
158763,150.179092,2.3899502,18.67,18.67
110584,150.0867277,2.289476,17.41,17.41
157610,150.1276048,2.3874124,15.46,15.46
112629,150.1640827,2.2940952,15.31,15.31
181897,150.1392122,2.4204654,14.23,14.23
211132,150.1511588,2.3654608,13.87,13.87
