file,z
CAPERS_COSMOS_P2_s000110732_x1d.fits,5.103044692356239
CAPERS_COSMOS_P2_s000037424_x1d.fits,nan
CAPERS_COSMOS_P2_s000041168_x1d.fits,nan
CAPERS_COSMOS_P2_s000037101_x1d.fits,5.34598831990438
CAPERS_COSMOS_P2_s000084886_x1d.fits,nan
CAPERS_COSMOS_P2_s000113554_x1d.fits,4.591109005162548
CAPERS_COSMOS_P2_s000108193_x1d.fits,nan
CAPERS_COSMOS_P2_s000044863_x1d.fits,nan
CAPERS_COSMOS_P2_s000099145_x1d.fits,nan
CAPERS_COSMOS_P2_s000107165_x1d.fits,3.00775201469955
CAPERS_COSMOS_P2_s000044178_x1d.fits,nan
CAPERS_COSMOS_P2_s000094464_x1d.fits,nan
CAPERS_COSMOS_P2_s000093227_x1d.fits,2.522466127418008
CAPERS_COSMOS_P2_s000102148_x1d.fits,nan
CAPERS_COSMOS_P2_s000037734_x1d.fits,1.9908842417809836
CAPERS_COSMOS_P2_s000093088_x1d.fits,5.84704112987545
CAPERS_COSMOS_P2_s000044725_x1d.fits,2.05443793826887
CAPERS_COSMOS_P2_s000095192_x1d.fits,nan
CAPERS_COSMOS_P2_s000034644_x1d.fits,1.4244457703520492
CAPERS_COSMOS_P2_s000090194_x1d.fits,nan
CAPERS_COSMOS_P2_s000034696_x1d.fits,nan
CAPERS_COSMOS_P2_s000037166_x1d.fits,nan
CAPERS_COSMOS_P2_s000037601_x1d.fits,4.090165461561002
CAPERS_COSMOS_P2_s000100743_x1d.fits,nan
CAPERS_COSMOS_P2_s000116486_x1d.fits,nan
CAPERS_COSMOS_P2_s000043488_x1d.fits,5.544295246786335
CAPERS_COSMOS_P2_s000039600_x1d.fits,nan
CAPERS_COSMOS_P2_s000036827_x1d.fits,2.126455158060697
CAPERS_COSMOS_P2_s000043817_x1d.fits,nan
CAPERS_COSMOS_P2_s000040855_x1d.fits,1.5940022355238312
CAPERS_COSMOS_P2_s000038098_x1d.fits,nan
CAPERS_COSMOS_P2_s000040876_x1d.fits,2.1995686128992107
CAPERS_COSMOS_P2_s000042240_x1d.fits,3.341176152824522
CAPERS_COSMOS_P2_s000092493_x1d.fits,nan
CAPERS_COSMOS_P2_s000039810_x1d.fits,3.6616433942970046
CAPERS_COSMOS_P2_s000037982_x1d.fits,0.7984244366816844
CAPERS_COSMOS_P2_s000094208_x1d.fits,2.501903932668188
CAPERS_COSMOS_P2_s000044230_x1d.fits,3.280545663201516
CAPERS_COSMOS_P2_s000035614_x1d.fits,5.93746162598924
CAPERS_COSMOS_P2_s000035060_x1d.fits,nan
CAPERS_COSMOS_P2_s000040487_x1d.fits,nan
CAPERS_COSMOS_P2_s000042900_x1d.fits,nan
CAPERS_COSMOS_P2_s000036760_x1d.fits,1.3384521484374998
CAPERS_COSMOS_P2_s000041267_x1d.fits,2.080842118246534
CAPERS_COSMOS_P2_s000112629_x1d.fits,nan
CAPERS_COSMOS_P2_s000088467_x1d.fits,5.660707986876234
CAPERS_COSMOS_P2_s000038477_x1d.fits,nan
CAPERS_COSMOS_P2_s000094804_x1d.fits,nan
CAPERS_COSMOS_P2_s000101695_x1d.fits,nan
CAPERS_COSMOS_P2_s000100814_x1d.fits,3.450531244168971
CAPERS_COSMOS_P2_s000043650_x1d.fits,2.970620492653669
CAPERS_COSMOS_P2_s000041802_x1d.fits,nan
CAPERS_COSMOS_P2_s000035686_x1d.fits,1.764167246619503
CAPERS_COSMOS_P2_s000084246_x1d.fits,nan
CAPERS_COSMOS_P2_s000041852_x1d.fits,nan
CAPERS_COSMOS_P2_s000041586_x1d.fits,nan
CAPERS_COSMOS_P2_s000040875_x1d.fits,2.6837582295827103
CAPERS_COSMOS_P2_s000113180_x1d.fits,nan
CAPERS_COSMOS_P2_s000043818_x1d.fits,nan
CAPERS_COSMOS_P2_s000090600_x1d.fits,2.8313856138210705
CAPERS_COSMOS_P2_s000046303_x1d.fits,nan
CAPERS_COSMOS_P2_s000038917_x1d.fits,nan
CAPERS_COSMOS_P2_s000045847_x1d.fits,2.148426138444697
CAPERS_COSMOS_P2_s000100692_x1d.fits,5.114320930830865
CAPERS_COSMOS_P2_s000043385_x1d.fits,2.517123415178412
CAPERS_COSMOS_P2_s000044513_x1d.fits,nan
CAPERS_COSMOS_P2_s000040751_x1d.fits,nan
CAPERS_COSMOS_P2_s000102565_x1d.fits,nan
CAPERS_COSMOS_P2_s000043681_x1d.fits,nan
CAPERS_COSMOS_P2_s000115000_x1d.fits,4.740149072370714
CAPERS_COSMOS_P2_s000109917_x1d.fits,nan
CAPERS_COSMOS_P2_s000046549_x1d.fits,nan
CAPERS_COSMOS_P2_s000100517_x1d.fits,6.497198166951034
CAPERS_COSMOS_P2_s000043906_x1d.fits,nan
CAPERS_COSMOS_P2_s000035171_x1d.fits,1.897368250470072
CAPERS_COSMOS_P2_s000108966_x1d.fits,5.327467191378847
CAPERS_COSMOS_P2_s000036976_x1d.fits,1.9425231049059395
CAPERS_COSMOS_P2_s000037545_x1d.fits,nan
