,id,best.universe.redshift,Comments
0,2642,3.59,
1,2648,0.5700000000000001,
2,2752,2.46,
3,2783,3.71,
4,2796,0.74,
5,2804,1.75,
6,2910,4.55,
7,2967,1.98,
8,3010,2.07,
9,3113,1.34,
10,3219,1.74,
11,3255,0.51,
12,3295,2.17,
13,3306,5.8500000000000005,
14,3315,0.21,
15,3327,0.0,
16,3393,1.5,
17,3412,0.66,
18,3426,1.59,
19,3490,1.7,
20,3544,0.49,
21,3550,4.45,
22,3555,7.12,
23,3769,3.73,
24,3799,3.73,
25,3844,0.68,
26,3907,1.75,
27,3933,3.87,
28,3984,2.64,
29,4010,0.66,
30,4023,4.46,
31,4037,0.6900000000000001,
32,4049,3.73,
33,4062,3.73,
34,4091,4.5600000000000005,
35,4096,4.55,
36,4131,2.2600000000000002,
37,4241,0.8200000000000001,
38,4246,2.15,
39,4253,1.59,
40,4298,3.73,
41,4302,0.48,
42,4318,3.73,
43,4364,4.13,
44,4367,3.72,
45,4368,0.9,
46,4370,4.0,
47,4419,1.98,
48,4423,1.53,
49,4433,4.66,
50,4434,3.33,
51,4495,,
52,4503,3.13,
53,4523,3.21,
54,4538,,
55,4612,0.0,
56,4631,1.0,
57,4771,,
58,4857,0.67,
59,4954,3.36,
60,4979,0.67,
61,4985,0.91,
62,5052,1.6,
63,5121,2.56,
64,5189,0.31,
65,5441,4.69,
66,5540,,
67,5725,3.93,
68,5727,2.48,
69,5754,1.6,
70,5973,1.8900000000000001,
71,6031,0.85,
72,6152,1.37,
73,6171,2.33,
74,6174,2.56,
75,6221,0.87,
76,6239,1.27,
77,6256,2.54,
78,6295,0.9400000000000001,
79,6339,4.21,
80,6357,1.83,
81,6443,1.83,
82,6471,2.05,
83,6472,1.11,
84,6473,2.43,
85,6490,4.69,
86,6494,3.19,
87,6513,0.0,
88,6524,2.2,
89,6563,1.17,
90,6684,2.5100000000000002,
91,6685,0.71,
92,6734,5.93,
93,6744,1.74,
94,6754,2.05,
95,6790,3.98,
96,6818,0.75,
97,6846,3.39,
98,6882,4.75,
99,6898,3.73,
100,6911,1.56,
101,6916,2.71,
102,6920,0.9500000000000001,
103,7009,1.92,
104,7029,2.06,
105,7053,5.1000000000000005,
106,7066,1.67,
107,7081,3.99,
108,7082,1.83,
109,7091,1.6,
110,7107,1.74,
111,7110,1.32,
112,7135,3.91,
113,7160,3.68,
114,7174,4.6000000000000005,
115,7196,1.1300000000000001,
116,7207,0.9400000000000001,
