ID,ra,dec,z_med,z_UNICORN,flux_F277W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
43538,214.9442826,52.8358477,16.78,16.78,27.723,3162278,[6],[6],[6],[6],17069.0013,['Midpoint']
48433,214.903134,52.817306,12.4,12.4,27.817,3162278,[7],[6],[6],[6],17069.0013,['Midpoint']
2948,214.8758345,52.9135526,,10.81,27.509,3162278,[3],[6],[6],[6],17069.0013,['Midpoint']
22637,214.9320749,52.8418712,,10.69,27.555,3162278,[6, 7],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
54833,214.8859661,52.819062,,10.54,27.899,3162278,[4, 7],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
25297,214.8171062,52.7483418,,9.58,27.221,3162278,[5],[6],[4],[6],15172.4456,['Midpoint']
72786,214.8121357,52.8676034,,9.34,27.607,3162278,[4],[6],[6],[6],17069.0013,['Midpoint']
48895,214.9890201,52.8792768,,9.04,27.667,3162278,[6],[4],[6],[6],15172.4456,['Midpoint']
8453,214.9315827,52.9209989,4.27,4.27,24.912,1995262,[2],[6],[6],[6],17069.0013,['Midpoint']
75005,214.8722723,52.9039476,18.15,5.11,27.981,1584893,[3],[6],[6],[6],17069.0013,['Midpoint']
86178,214.9949975,52.9624088,17.59,17.59,27.735,1584893,[1, 2],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
91255,214.9694119,52.9305834,17.19,0.58,27.942,1584893,[2],[6],[6],[6],17069.0013,['Midpoint']
73324,214.7858956,52.8474888,16.03,16.03,28.111,1584893,[4],[6],[6],[6],17069.0013,['Midpoint']
68507,214.9992384,53.0089351,15.26,0.52,27.778,1584893,[1],[2],[0],[0],1896.5557,['EOSA']
24713,214.8906384,52.8030476,14.53,14.53,24.773,1584893,[5, 7],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
78237,214.9531945,52.9527205,14.38,14.38,27.943,1584893,[2],[6],[6],[6],17069.0013,['Midpoint']
63631,214.9956165,52.9206489,14.02,14.02,27.938,1584893,[2],[4],[4],[6],13275.889899999998,['Midpoint']
87663,214.9378316,52.9183779,13.88,0.79,27.585,1584893,[2, 3],[4, 6],[6, 6],[4, 6],30344.8912,['Midpoint', 'Midpoint']
46191,214.8904691,52.803559,13.32,4.03,27.647,1584893,[5, 7],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
69382,214.929859,52.880191,13.09,13.09,28.024,1584893,[3],[6],[6],[6],17069.0013,['Midpoint']
13996,214.9106921,52.8758774,10.07,2.29,27.0,1584893,[3],[6],[6],[6],17069.0013,['Midpoint']
82464,214.8784308,52.8889495,,15.37,27.298,1584893,[3],[4],[6],[6],15172.4456,['EOSA']
2145,214.9519365,52.9717354,,10.51,27.186,1584893,[2],[6],[6],[6],17069.0013,['Midpoint']
87132,215.0440047,52.9943011,,10.33,28.588,1584893,[1],[6],[6],[6],17069.0013,['Midpoint']
85546,214.9387983,52.9227344,,9.28,27.848,1584893,[2, 3],[4, 6],[4, 6],[4, 6],28448.3355,['Midpoint', 'Midpoint']
4347,214.9943953,52.9893803,,9.07,27.542,1584893,[1],[6],[6],[6],17069.0013,['Midpoint']
6691,215.0117042,52.9883043,,8.98,27.078,1584893,[1],[6],[6],[6],17069.0013,['Midpoint']
45856,214.9941832,52.8764738,,8.92,27.982,1584893,[6],[6],[6],[6],17069.0013,['Midpoint']
27615,215.0172984,52.8801574,8.95,8.95,25.36,1000000,[6],[6],[6],[6],17069.0013,['EOSA']
41274,215.008502,52.8763727,17.69,0.61,28.387,794328,[6],[4],[0],[0],3793.1114,['Midpoint']
75907,214.8818912,52.9082327,16.0,16.0,28.5,794328,[3],[6],[6],[6],17069.0013,['Midpoint']
93609,214.9056493,52.8783612,15.94,15.94,29.03,794328,[3],[6],[6],[6],17069.0013,['Midpoint']
103664,214.8812414,52.8740897,15.61,15.61,28.952,794328,[3],[6],[6],[6],17069.0013,['Midpoint']
74531,214.9892315,52.9880619,15.1,15.1,28.227,794328,[1],[6],[6],[6],17069.0013,['Midpoint']
34014,214.9888198,52.8463634,14.23,14.23,28.723,794328,[6],[6],[6],[6],17069.0013,['Midpoint']
95769,214.7954359,52.7923727,13.81,13.81,28.746,794328,[5],[6],[6],[6],17069.0013,['EOSA']
89207,214.8676775,52.8649429,13.33,13.33,28.196,794328,[4],[6],[6],[6],17069.0013,['Midpoint']
96279,214.8103515,52.8016777,12.99,0.37,27.383,794328,[5],[6],[6],[6],17069.0013,['Midpoint']
61927,214.9157732,52.8592294,11.98,11.98,28.555,794328,[6, 7],[6, 6],[6, 6],[6, 6],34138.0026,['Midpoint', 'Midpoint']
69630,214.9880488,52.9999322,11.95,11.95,28.371,794328,[1],[6],[6],[6],17069.0013,['Midpoint']
83643,214.8025187,52.831113,11.74,11.74,28.237,794328,[4],[6],[6],[6],17069.0013,['Midpoint']
65235,214.879511,52.8425358,11.33,0.97,27.814,794328,[7],[6],[6],[6],17069.0013,['Midpoint']
79404,215.0215033,52.9979986,11.32,11.62,27.826,794328,[1],[6],[6],[6],17069.0013,['Midpoint']
99504,214.8975411,52.8056439,11.32,11.32,28.25,794328,[7],[6],[6],[6],17069.0013,['Midpoint']
2888,214.804435,52.8631181,10.53,2.35,27.746,794328,[4],[6],[6],[6],17069.0013,['Midpoint']
86895,214.961568,52.9364934,,10.63,28.632,794328,[2],[6],[6],[6],17069.0013,['Midpoint']
76036,215.0053621,52.9967006,,10.54,28.199,794328,[1],[6],[6],[6],17069.0013,['Midpoint']
36064,214.9758411,52.8419488,,9.91,28.598,794328,[6],[6],[6],[6],17069.0013,['Midpoint']
3044,214.9851058,52.9904681,,9.1,26.93,794328,[1],[6],[6],[6],17069.0013,['Midpoint']
97912,214.876466,52.8440538,,8.83,27.946,794328,[7],[6],[6],[6],17069.0013,['Midpoint']
34935,214.996395,52.8541552,,8.71,27.932,794328,[6],[6],[6],[6],17069.0013,['Midpoint']
55434,214.9329139,52.85371,12.31,12.31,29.314,398107,[6],[6],[6],[6],17069.0013,['Midpoint']
96185,214.9128238,52.8749537,12.16,12.16,29.241,398107,[3],[6],[6],[6],17069.0013,['Midpoint']
72510,214.9891175,52.9937779,12.07,0.37,28.229,398107,[1],[6],[6],[6],17069.0013,['Midpoint']
85257,214.8108886,52.8332145,11.89,11.89,29.171,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
83878,214.7963308,52.8261072,11.59,11.59,28.677,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
84059,214.8578838,52.8692733,11.57,0.31,28.665,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
91753,214.8588147,52.8507058,11.23,0.25,28.825,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
76762,214.8119937,52.8562617,10.87,0.31,28.06,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
89281,214.8507731,52.8525687,10.6,10.6,28.792,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
52792,214.9202702,52.8390283,10.45,10.45,28.181,398107,[6],[0],[0],[6],5689.6671,['EOSA']
4503,215.0125326,53.00137,8.97,2.29,27.708,398107,[1],[6],[6],[6],17069.0013,['Midpoint']
65480,214.8071669,52.7902044,,12.1,28.575,398107,[5],[6],[6],[6],17069.0013,['Midpoint']
64034,214.8717209,52.8337974,,11.26,28.972,398107,[4],[6],[6],[6],17069.0013,['Midpoint']
43539,214.9030993,52.8065943,,11.17,29.715,398107,[7],[6],[6],[6],17069.0013,['Midpoint']
41813,214.8894239,52.7930034,,9.31,29.379,398107,[5],[0],[0],[6],5689.6671,['EOSA']
92582,214.9351232,52.9090057,,8.98,28.234,398107,[3],[6],[6],[6],17069.0013,['Midpoint']
55806,214.9583409,52.8725239,,8.95,28.981,398107,[3, 6],[6, 6],[6, 0],[6, 0],22758.6684,['Midpoint', 'EOSA']
101303,214.8188143,52.7861221,,8.68,28.88,398107,[5],[6],[6],[6],17069.0013,['Midpoint']
74599,214.9886837,52.9873307,,8.62,28.141,398107,[1],[6],[6],[6],17069.0013,['Midpoint']
102199,215.005198,53.0086874,,5.47,31.361,398107,[1],[6],[6],[6],17069.0013,['Midpoint']
