               sample          id       pointing  MPT_number   z_manual  z_gaussian                                    optext
0     CAPERS_EGS_V0.2  s000000156             P2         156   4.900000    4.898305  CAPERS_EGS_P2_s000000156_x1d_optext.fits
1     CAPERS_EGS_V0.2  s000000187             P2         187   2.660000    2.681425  CAPERS_EGS_P2_s000000187_x1d_optext.fits
2     CAPERS_EGS_V0.2  s000000227             P2         227  -1.000000   -1.000000  CAPERS_EGS_P2_s000000227_x1d_optext.fits
3     CAPERS_EGS_V0.2  s000000360             P1         360   3.383004    3.377956  CAPERS_EGS_P1_s000000360_x1d_optext.fits
4     CAPERS_EGS_V0.2  s000000401             P2         401   4.900000    4.899420  CAPERS_EGS_P2_s000000401_x1d_optext.fits
5     CAPERS_EGS_V0.2  s000000659             P2         659  -1.000000   -1.000000  CAPERS_EGS_P2_s000000659_x1d_optext.fits
6     CAPERS_EGS_V0.2  s000000705             P2         705  -1.000000   -1.000000  CAPERS_EGS_P2_s000000705_x1d_optext.fits
7     CAPERS_EGS_V0.2  s000000915             P1         915  -1.000000   -1.000000                                       NaN
8     CAPERS_EGS_V0.2  s000000948             P3         948   0.951470    0.948971  CAPERS_EGS_P3_s000000948_x1d_optext.fits
9     CAPERS_EGS_V0.2  s000001008             P1        1008  -1.000000   -1.000000  CAPERS_EGS_P1_s000001008_x1d_optext.fits
10    CAPERS_EGS_V0.2  s000001034             P3        1034   6.520000    6.530840  CAPERS_EGS_P3_s000001034_x1d_optext.fits
11    CAPERS_EGS_V0.2  s000001144             P2        1144   2.390000    2.392816  CAPERS_EGS_P2_s000001144_x1d_optext.fits
12    CAPERS_EGS_V0.2  s000001170             P2        1170   4.880000    4.893392  CAPERS_EGS_P2_s000001170_x1d_optext.fits
13    CAPERS_EGS_V0.2  s000001216             P2        1216  -1.000000   -1.000000  CAPERS_EGS_P2_s000001216_x1d_optext.fits
14    CAPERS_EGS_V0.2  s000001316             P1        1316   2.610000    2.616290  CAPERS_EGS_P1_s000001316_x1d_optext.fits
15    CAPERS_EGS_V0.2  s000001334             P2        1334   4.480000    4.486677  CAPERS_EGS_P2_s000001334_x1d_optext.fits
16    CAPERS_EGS_V0.2  s000001417             P1        1417  -1.000000   -1.000000  CAPERS_EGS_P1_s000001417_x1d_optext.fits
17    CAPERS_EGS_V0.2  s000001430             P3        1430   4.600000    4.601306  CAPERS_EGS_P3_s000001430_x1d_optext.fits
18    CAPERS_EGS_V0.2  s000001526             P3        1526   1.354353    1.363937  CAPERS_EGS_P3_s000001526_x1d_optext.fits
19    CAPERS_EGS_V0.2  s000001542             P4        1542   2.180000    2.184743  CAPERS_EGS_P4_s000001542_x1d_optext.fits
20    CAPERS_EGS_V0.2  s000001593             P1        1593  -1.000000   -1.000000  CAPERS_EGS_P1_s000001593_x1d_optext.fits
21    CAPERS_EGS_V0.2  s000001644             P2        1644   2.922368    2.929985  CAPERS_EGS_P2_s000001644_x1d_optext.fits
22    CAPERS_EGS_V0.2  s000001699             P2        1699   2.660000    2.671380  CAPERS_EGS_P2_s000001699_x1d_optext.fits
23    CAPERS_EGS_V0.2  s000001738             P3        1738   3.480000    3.486401  CAPERS_EGS_P3_s000001738_x1d_optext.fits
24    CAPERS_EGS_V0.2  s000001748             P3        1748  -1.000000   -1.000000  CAPERS_EGS_P3_s000001748_x1d_optext.fits
25    CAPERS_EGS_V0.2  s000001831             P2        1831  -1.000000   -1.000000                                       NaN
26    CAPERS_EGS_V0.2  s000001832             P2        1832   4.470000    4.472804  CAPERS_EGS_P2_s000001832_x1d_optext.fits
27    CAPERS_EGS_V0.2  s000001866             P1        1866   1.640000    1.636684  CAPERS_EGS_P1_s000001866_x1d_optext.fits
28    CAPERS_EGS_V0.2  s000001898             P3        1898  -1.000000   -1.000000  CAPERS_EGS_P3_s000001898_x1d_optext.fits
29    CAPERS_EGS_V0.2  s000001906             P2        1906   4.883878    4.879452  CAPERS_EGS_P2_s000001906_x1d_optext.fits
30    CAPERS_EGS_V0.2  s000001937             P2        1937  -1.000000   -1.000000                                       NaN
31    CAPERS_EGS_V0.2  s000001952             P2        1952  -1.000000   -1.000000                                       NaN
32    CAPERS_EGS_V0.2  s000001999             P2        1999   3.931246   -1.000000                                       NaN
33    CAPERS_EGS_V0.2  s000002006             P2        2006  -1.000000   -1.000000  CAPERS_EGS_P2_s000002006_x1d_optext.fits
34    CAPERS_EGS_V0.2  s000002061             P2        2061   3.950000    3.952065  CAPERS_EGS_P2_s000002061_x1d_optext.fits
35    CAPERS_EGS_V0.2  s000002100             P3        2100   1.031855    1.041388  CAPERS_EGS_P3_s000002100_x1d_optext.fits
36    CAPERS_EGS_V0.2  s000002112             P2        2112  -1.000000   -1.000000  CAPERS_EGS_P2_s000002112_x1d_optext.fits
37    CAPERS_EGS_V0.2  s000002145             P2        2145   8.290000    8.303241  CAPERS_EGS_P2_s000002145_x1d_optext.fits
38    CAPERS_EGS_V0.2  s000002152             P3        2152   1.024700    1.027653  CAPERS_EGS_P3_s000002152_x1d_optext.fits
39    CAPERS_EGS_V0.2  s000002153             P3        2153   2.287076    2.285167                                       NaN
40    CAPERS_EGS_V0.2  s000002161             P2        2161   4.890000    4.901991  CAPERS_EGS_P2_s000002161_x1d_optext.fits
41    CAPERS_EGS_V0.2  s000002244             P1        2244  -1.000000   -1.000000                                       NaN
42    CAPERS_EGS_V0.2  s000002294             P1        2294   1.560000    1.598666  CAPERS_EGS_P1_s000002294_x1d_optext.fits
43    CAPERS_EGS_V0.2  s000002345             P1        2345   1.800000    1.804794  CAPERS_EGS_P1_s000002345_x1d_optext.fits
44    CAPERS_EGS_V0.2  s000002404             P2        2404  -1.000000   -1.000000  CAPERS_EGS_P2_s000002404_x1d_optext.fits
45    CAPERS_EGS_V0.2  s000002423             P3        2423  -1.000000   -1.000000  CAPERS_EGS_P3_s000002423_x1d_optext.fits
46    CAPERS_EGS_V0.2  s000002503             P2        2503  -1.000000   -1.000000                                       NaN
47    CAPERS_EGS_V0.2  s000002511             P2        2511   0.969651    0.971674  CAPERS_EGS_P2_s000002511_x1d_optext.fits
48    CAPERS_EGS_V0.2  s000002524             P3        2524   6.320000    6.317643  CAPERS_EGS_P3_s000002524_x1d_optext.fits
49    CAPERS_EGS_V0.2  s000002555             P2        2555  -1.000000   -1.000000                                       NaN
50    CAPERS_EGS_V0.2  s000002588             P2        2588  -1.000000   -1.000000  CAPERS_EGS_P2_s000002588_x1d_optext.fits
51    CAPERS_EGS_V0.2  s000002658             P3        2658   5.100000    5.092211  CAPERS_EGS_P3_s000002658_x1d_optext.fits
52    CAPERS_EGS_V0.2  s000002683             P2        2683   2.160000    2.176716  CAPERS_EGS_P2_s000002683_x1d_optext.fits
53    CAPERS_EGS_V0.2  s000002715             P2        2715  -1.000000   -1.000000                                       NaN
54    CAPERS_EGS_V0.2  s000002773             P2        2773  -1.000000   -1.000000  CAPERS_EGS_P2_s000002773_x1d_optext.fits
55    CAPERS_EGS_V0.2  s000002799             P1        2799   3.750000    3.766307  CAPERS_EGS_P1_s000002799_x1d_optext.fits
56    CAPERS_EGS_V0.2  s000002809             P2        2809   3.460000    3.490401  CAPERS_EGS_P2_s000002809_x1d_optext.fits
57    CAPERS_EGS_V0.2  s000002860             P4        2860  -1.000000   -1.000000  CAPERS_EGS_P4_s000002860_x1d_optext.fits
58    CAPERS_EGS_V0.2  s000002867             P1        2867   3.700000    3.721854  CAPERS_EGS_P1_s000002867_x1d_optext.fits
59    CAPERS_EGS_V0.2  s000002888             P4        2888   2.990000    2.967405  CAPERS_EGS_P4_s000002888_x1d_optext.fits
60    CAPERS_EGS_V0.2  s000002932             P2        2932  -1.000000   -1.000000  CAPERS_EGS_P2_s000002932_x1d_optext.fits
61    CAPERS_EGS_V0.2  s000002939             P1        2939  -1.000000   -1.000000  CAPERS_EGS_P1_s000002939_x1d_optext.fits
62    CAPERS_EGS_V0.2  s000002948             P3        2948  -1.000000   -1.000000  CAPERS_EGS_P3_s000002948_x1d_optext.fits
63    CAPERS_EGS_V0.2  s000002965             P1        2965   5.080000    5.077243  CAPERS_EGS_P1_s000002965_x1d_optext.fits
64    CAPERS_EGS_V0.2  s000003010             P3        3010  -1.000000   -1.000000                                       NaN
65    CAPERS_EGS_V0.2  s000003024             P1        3024   3.450000    3.467634  CAPERS_EGS_P1_s000003024_x1d_optext.fits
66    CAPERS_EGS_V0.2  s000003040             P4        3040   4.700000    4.702582  CAPERS_EGS_P4_s000003040_x1d_optext.fits
67    CAPERS_EGS_V0.2  s000003044             P1        3044   8.806944    8.800263  CAPERS_EGS_P1_s000003044_x1d_optext.fits
68    CAPERS_EGS_V0.2  s000003066             P3        3066   2.940000    2.940187  CAPERS_EGS_P3_s000003066_x1d_optext.fits
69    CAPERS_EGS_V0.2  s000003070             P4        3070   4.213185    4.210377  CAPERS_EGS_P4_s000003070_x1d_optext.fits
70    CAPERS_EGS_V0.2  s000003093             P4        3093  -1.000000   -1.000000  CAPERS_EGS_P4_s000003093_x1d_optext.fits
71    CAPERS_EGS_V0.2  s000003105             P2        3105   2.171474    2.183194  CAPERS_EGS_P2_s000003105_x1d_optext.fits
72    CAPERS_EGS_V0.2  s000003113             P2        3113  -1.000000   -1.000000  CAPERS_EGS_P2_s000003113_x1d_optext.fits
73    CAPERS_EGS_V0.2  s000003121             P2        3121  -1.000000   -1.000000  CAPERS_EGS_P2_s000003121_x1d_optext.fits
74    CAPERS_EGS_V0.2  s000003127             P1        3127   3.426129   -1.000000  CAPERS_EGS_P1_s000003127_x1d_optext.fits
75    CAPERS_EGS_V0.2  s000003143             P4        3143  -1.000000   -1.000000  CAPERS_EGS_P4_s000003143_x1d_optext.fits
76    CAPERS_EGS_V0.2  s000003144             P1        3144  -1.000000   -1.000000  CAPERS_EGS_P1_s000003144_x1d_optext.fits
77    CAPERS_EGS_V0.2  s000003152             P3        3152   3.270000    3.259156  CAPERS_EGS_P3_s000003152_x1d_optext.fits
78    CAPERS_EGS_V0.2  s000003167             P2        3167  -1.000000   -1.000000  CAPERS_EGS_P2_s000003167_x1d_optext.fits
79    CAPERS_EGS_V0.2  s000003228             P3        3228  -1.000000   -1.000000  CAPERS_EGS_P3_s000003228_x1d_optext.fits
80    CAPERS_EGS_V0.2  s000003253             P1        3253  -1.000000   -1.000000  CAPERS_EGS_P1_s000003253_x1d_optext.fits
81    CAPERS_EGS_V0.2  s000003261             P2        3261  -1.000000   -1.000000  CAPERS_EGS_P2_s000003261_x1d_optext.fits
82    CAPERS_EGS_V0.2  s000003270             P1        3270  -1.000000   -1.000000  CAPERS_EGS_P1_s000003270_x1d_optext.fits
83    CAPERS_EGS_V0.2  s000003305             P1        3305   1.114400    1.121877  CAPERS_EGS_P1_s000003305_x1d_optext.fits
84    CAPERS_EGS_V0.2  s000003315             P4        3315   3.450000    3.457717  CAPERS_EGS_P4_s000003315_x1d_optext.fits
85    CAPERS_EGS_V0.2  s000003385             P3        3385  -1.000000   -1.000000  CAPERS_EGS_P3_s000003385_x1d_optext.fits
86    CAPERS_EGS_V0.2  s000003415             P4        3415   2.294885    2.291982  CAPERS_EGS_P4_s000003415_x1d_optext.fits
87    CAPERS_EGS_V0.2  s000003439             P2        3439   2.720000    2.733620  CAPERS_EGS_P2_s000003439_x1d_optext.fits
88    CAPERS_EGS_V0.2  s000003481             P3        3481   0.348874    0.346515  CAPERS_EGS_P3_s000003481_x1d_optext.fits
89    CAPERS_EGS_V0.2  s000003505             P2        3505   4.650000   -1.000000  CAPERS_EGS_P2_s000003505_x1d_optext.fits
90    CAPERS_EGS_V0.2  s000003513             P4        3513  -1.000000   -1.000000  CAPERS_EGS_P4_s000003513_x1d_optext.fits
91    CAPERS_EGS_V0.2  s000003514             P1        3514   4.580000    4.584326  CAPERS_EGS_P1_s000003514_x1d_optext.fits
92    CAPERS_EGS_V0.2  s000003531             P2        3531   2.480000    2.509512  CAPERS_EGS_P2_s000003531_x1d_optext.fits
93    CAPERS_EGS_V0.2  s000003547             P2        3547   1.629977   -1.000000  CAPERS_EGS_P2_s000003547_x1d_optext.fits
94    CAPERS_EGS_V0.2  s000003570             P1        3570  -1.000000   -1.000000                                       NaN
95    CAPERS_EGS_V0.2  s000003577             P1        3577  -1.000000   -1.000000  CAPERS_EGS_P1_s000003577_x1d_optext.fits
96    CAPERS_EGS_V0.2  s000003578             P1        3578  -1.000000   -1.000000  CAPERS_EGS_P1_s000003578_x1d_optext.fits
97    CAPERS_EGS_V0.2  s000003583             P3        3583   2.290000    2.290804  CAPERS_EGS_P3_s000003583_x1d_optext.fits
98    CAPERS_EGS_V0.2  s000003617             P1        3617  -1.000000   -1.000000  CAPERS_EGS_P1_s000003617_x1d_optext.fits
99    CAPERS_EGS_V0.2  s000003662             P1        3662   3.435375   -1.000000  CAPERS_EGS_P1_s000003662_x1d_optext.fits
100   CAPERS_EGS_V0.2  s000003709             P4        3709   3.580000    3.597515  CAPERS_EGS_P4_s000003709_x1d_optext.fits
101   CAPERS_EGS_V0.2  s000003751             P3        3751  -1.000000   -1.000000  CAPERS_EGS_P3_s000003751_x1d_optext.fits
102   CAPERS_EGS_V0.2  s000003760             P3        3760   4.510000    4.524449  CAPERS_EGS_P3_s000003760_x1d_optext.fits
103   CAPERS_EGS_V0.2  s000003769             P2        3769   1.390000    1.389600  CAPERS_EGS_P2_s000003769_x1d_optext.fits
104   CAPERS_EGS_V0.2  s000003879             P2        3879   2.970000    2.976633  CAPERS_EGS_P2_s000003879_x1d_optext.fits
105   CAPERS_EGS_V0.2  s000003886             P1        3886  -1.000000   -1.000000  CAPERS_EGS_P1_s000003886_x1d_optext.fits
106   CAPERS_EGS_V0.2  s000003937             P1        3937   1.246222    1.253838  CAPERS_EGS_P1_s000003937_x1d_optext.fits
