ID,ra,dec,z_med,z_UNICORN
43538,214.9442826,52.8358477,16.78,16.78
48433,214.903134,52.817306,12.4,12.4
2948,214.8758345,52.9135526,,10.81
22637,214.9320749,52.8418712,,10.69
54833,214.8859661,52.819062,,10.54
25297,214.8171062,52.7483418,,9.58
72786,214.8121357,52.8676034,,9.34
48895,214.9890201,52.8792768,,9.04
8453,214.9315827,52.9209989,4.27,4.27
75005,214.8722723,52.9039476,18.15,5.11
86178,214.9949975,52.9624088,17.59,17.59
91255,214.9694119,52.9305834,17.19,0.58
73324,214.7858956,52.8474888,16.03,16.03
68507,214.9992384,53.0089351,15.26,0.52
24713,214.8906384,52.8030476,14.53,14.53
78237,214.9531945,52.9527205,14.38,14.38
63631,214.9956165,52.9206489,14.02,14.02
87663,214.9378316,52.9183779,13.88,0.79
46191,214.8904691,52.803559,13.32,4.03
69382,214.929859,52.880191,13.09,13.09
13996,214.9106921,52.8758774,10.07,2.29
82464,214.8784308,52.8889495,,15.37
2145,214.9519365,52.9717354,,10.51
87132,215.0440047,52.9943011,,10.33
85546,214.9387983,52.9227344,,9.28
4347,214.9943953,52.9893803,,9.07
6691,215.0117042,52.9883043,,8.98
45856,214.9941832,52.8764738,,8.92
27615,215.0172984,52.8801574,8.95,8.95
41274,215.008502,52.8763727,17.69,0.61
75907,214.8818912,52.9082327,16.0,16.0
93609,214.9056493,52.8783612,15.94,15.94
103664,214.8812414,52.8740897,15.61,15.61
74531,214.9892315,52.9880619,15.1,15.1
34014,214.9888198,52.8463634,14.23,14.23
95769,214.7954359,52.7923727,13.81,13.81
89207,214.8676775,52.8649429,13.33,13.33
96279,214.8103515,52.8016777,12.99,0.37
61927,214.9157732,52.8592294,11.98,11.98
69630,214.9880488,52.9999322,11.95,11.95
83643,214.8025187,52.831113,11.74,11.74
65235,214.879511,52.8425358,11.33,0.97
79404,215.0215033,52.9979986,11.32,11.62
99504,214.8975411,52.8056439,11.32,11.32
2888,214.804435,52.8631181,10.53,2.35
86895,214.961568,52.9364934,,10.63
76036,215.0053621,52.9967006,,10.54
36064,214.9758411,52.8419488,,9.91
3044,214.9851058,52.9904681,,9.1
