file,z
CAPERS_EGS_P7_s000038296_x1d.fits,5.787024121430193
CAPERS_EGS_P7_s000060618_x1d.fits,nan
CAPERS_EGS_P7_s000023961_x1d.fits,5.007718073600641
CAPERS_EGS_P7_s000054332_x1d.fits,nan
CAPERS_EGS_P7_s000060595_x1d.fits,nan
CAPERS_EGS_P7_s000054314_x1d.fits,nan
CAPERS_EGS_P7_s000049658_x1d.fits,nan
CAPERS_EGS_P7_s000201242_x1d.fits,1.8705725489868383
CAPERS_EGS_P7_s000015540_x1d.fits,2.9288206287006333
CAPERS_EGS_P7_s000065595_x1d.fits,nan
CAPERS_EGS_P7_s000018964_x1d.fits,nan
CAPERS_EGS_P7_s000057561_x1d.fits,nan
CAPERS_EGS_P7_s000020512_x1d.fits,nan
CAPERS_EGS_P7_s000021296_x1d.fits,1.4553150297319237
CAPERS_EGS_P7_s000054833_x1d.fits,nan
CAPERS_EGS_P7_s000037090_x1d.fits,nan
CAPERS_EGS_P7_s000092782_x1d.fits,3.932647904444446
CAPERS_EGS_P7_s000028257_x1d.fits,nan
CAPERS_EGS_P7_s000093270_x1d.fits,nan
CAPERS_EGS_P7_s000065872_x1d.fits,nan
CAPERS_EGS_P7_s000021587_x1d.fits,2.0434393647169484
CAPERS_EGS_P7_s000025650_x1d.fits,nan
CAPERS_EGS_P7_s000097175_x1d.fits,5.2038795139014855
CAPERS_EGS_P7_s000019710_x1d.fits,nan
CAPERS_EGS_P7_s000057972_x1d.fits,3.6540463734987325
CAPERS_EGS_P7_s000018614_x1d.fits,1.7263229425502993
CAPERS_EGS_P7_s000232882_x1d.fits,1.8208396333359613
CAPERS_EGS_P7_s000206031_x1d.fits,3.6435239573593554
CAPERS_EGS_P7_s000021116_x1d.fits,1.927054505912738
CAPERS_EGS_P7_s000207306_x1d.fits,nan
CAPERS_EGS_P7_s000017542_x1d.fits,2.286594636954065
CAPERS_EGS_P7_s000055482_x1d.fits,nan
CAPERS_EGS_P7_s000023000_x1d.fits,nan
CAPERS_EGS_P7_s000021094_x1d.fits,nan
CAPERS_EGS_P7_s000018085_x1d.fits,3.609380150260339
CAPERS_EGS_P7_s000039316_x1d.fits,4.012260020260547
CAPERS_EGS_P7_s000093452_x1d.fits,nan
CAPERS_EGS_P7_s000018170_x1d.fits,2.9464460296356587
CAPERS_EGS_P7_s000053299_x1d.fits,nan
CAPERS_EGS_P7_s000013070_x1d.fits,nan
CAPERS_EGS_P7_s000042166_x1d.fits,nan
CAPERS_EGS_P7_s000053483_x1d.fits,nan
CAPERS_EGS_P7_s000097675_x1d.fits,3.421422598875279
CAPERS_EGS_P7_s000019330_x1d.fits,2.0804797039790044
CAPERS_EGS_P7_s000093702_x1d.fits,4.188093514934804
CAPERS_EGS_P7_s000201176_x1d.fits,2.910957993160162
CAPERS_EGS_P7_s000023503_x1d.fits,3.982680647220146
CAPERS_EGS_P7_s000023183_x1d.fits,2.716385059237456
CAPERS_EGS_P7_s000015408_x1d.fits,nan
CAPERS_EGS_P7_s000019318_x1d.fits,nan
CAPERS_EGS_P7_s000027040_x1d.fits,4.941928502748416
CAPERS_EGS_P7_s000065916_x1d.fits,nan
CAPERS_EGS_P7_s000019991_x1d.fits,1.1782434698538746
CAPERS_EGS_P7_s000057517_x1d.fits,nan
CAPERS_EGS_P7_s000212017_x1d.fits,2.97106868436419
CAPERS_EGS_P7_s000019597_x1d.fits,nan
CAPERS_EGS_P7_s000051584_x1d.fits,nan
CAPERS_EGS_P7_s000048787_x1d.fits,4.6657120689603895
CAPERS_EGS_P7_s000018853_x1d.fits,2.630763671028711
CAPERS_EGS_P7_s000017749_x1d.fits,1.3656196207711737
CAPERS_EGS_P7_s000094037_x1d.fits,3.76515552634271
CAPERS_EGS_P7_s000023962_x1d.fits,4.89766377623695
CAPERS_EGS_P7_s000015692_x1d.fits,nan
CAPERS_EGS_P7_s000061927_x1d.fits,nan
CAPERS_EGS_P7_s000017614_x1d.fits,2.2723504720344643
CAPERS_EGS_P7_s000097912_x1d.fits,2.291596570175899
CAPERS_EGS_P7_s000030220_x1d.fits,3.1024228258477686
CAPERS_EGS_P7_s000028370_x1d.fits,2.3280340906672308
CAPERS_EGS_P7_s000047938_x1d.fits,nan
CAPERS_EGS_P7_s000017705_x1d.fits,nan
CAPERS_EGS_P7_s000055683_x1d.fits,nan
CAPERS_EGS_P7_s000095529_x1d.fits,6.733182086186517
CAPERS_EGS_P7_s000051876_x1d.fits,nan
CAPERS_EGS_P7_s000201839_x1d.fits,2.5510799896784278
CAPERS_EGS_P7_s000021945_x1d.fits,nan
CAPERS_EGS_P7_s000045561_x1d.fits,nan
CAPERS_EGS_P7_s000063161_x1d.fits,nan
CAPERS_EGS_P7_s000017519_x1d.fits,1.9496439969394412
CAPERS_EGS_P7_s000020856_x1d.fits,2.3123057127527757
CAPERS_EGS_P7_s000059687_x1d.fits,nan
CAPERS_EGS_P7_s000050348_x1d.fits,5.01206850524622
CAPERS_EGS_P7_s000065663_x1d.fits,nan
CAPERS_EGS_P7_s000048663_x1d.fits,nan
CAPERS_EGS_P7_s000058265_x1d.fits,nan
CAPERS_EGS_P7_s000044970_x1d.fits,nan
CAPERS_EGS_P7_s000025077_x1d.fits,6.734560599840399
CAPERS_EGS_P7_s000013460_x1d.fits,nan
CAPERS_EGS_P7_s000098001_x1d.fits,3.6577585988685666
CAPERS_EGS_P7_s000065168_x1d.fits,nan
CAPERS_EGS_P7_s000061072_x1d.fits,nan
CAPERS_EGS_P7_s000025929_x1d.fits,nan
CAPERS_EGS_P7_s000020126_x1d.fits,nan
CAPERS_EGS_P7_s000210390_x1d.fits,2.2133719914921843
CAPERS_EGS_P7_s000022068_x1d.fits,nan
CAPERS_EGS_P7_s000035518_x1d.fits,nan
CAPERS_EGS_P7_s000203870_x1d.fits,3.0979245877676433
CAPERS_EGS_P7_s000201810_x1d.fits,nan
CAPERS_EGS_P7_s000045072_x1d.fits,nan
CAPERS_EGS_P7_s000054508_x1d.fits,5.12520995386732
CAPERS_EGS_P7_s000053781_x1d.fits,nan
CAPERS_EGS_P7_s000035335_x1d.fits,nan
CAPERS_EGS_P7_s000024579_x1d.fits,1.82067749727408
CAPERS_EGS_P7_s000048891_x1d.fits,nan
CAPERS_EGS_P7_s000055783_x1d.fits,5.732001665563718
CAPERS_EGS_P7_s000015415_x1d.fits,1.7414345803029034
CAPERS_EGS_P7_s000056761_x1d.fits,nan
CAPERS_EGS_P7_s000023290_x1d.fits,4.892509706534144
CAPERS_EGS_P7_s000023767_x1d.fits,nan
CAPERS_EGS_P7_s000034647_x1d.fits,nan
CAPERS_EGS_P7_s000039641_x1d.fits,nan
CAPERS_EGS_P7_s000209955_x1d.fits,nan
CAPERS_EGS_P7_s000017538_x1d.fits,nan
CAPERS_EGS_P7_s000022902_x1d.fits,4.382261091490956
CAPERS_EGS_P7_s000019689_x1d.fits,5.130091654032987
CAPERS_EGS_P7_s000034198_x1d.fits,nan
CAPERS_EGS_P7_s000051861_x1d.fits,nan
CAPERS_EGS_P7_s000015406_x1d.fits,2.019120841060454
CAPERS_EGS_P7_s000093221_x1d.fits,4.358625580838373
CAPERS_EGS_P7_s000201835_x1d.fits,1.4741074326875396
CAPERS_EGS_P7_s000020765_x1d.fits,nan
CAPERS_EGS_P7_s000049059_x1d.fits,nan
CAPERS_EGS_P7_s000029982_x1d.fits,2.8734793258279963
CAPERS_EGS_P7_s000020647_x1d.fits,nan
CAPERS_EGS_P7_s000054388_x1d.fits,2.9451777494570344
CAPERS_EGS_P7_s000209532_x1d.fits,nan
CAPERS_EGS_P7_s000094837_x1d.fits,4.771760005352857
CAPERS_EGS_P7_s000049231_x1d.fits,nan
CAPERS_EGS_P7_s000202922_x1d.fits,nan
CAPERS_EGS_P7_s000209939_x1d.fits,4.536608908355938
CAPERS_EGS_P7_s000013789_x1d.fits,nan
CAPERS_EGS_P7_s000045430_x1d.fits,nan
CAPERS_EGS_P7_s000025646_x1d.fits,2.197796548555378
CAPERS_EGS_P7_s000020735_x1d.fits,nan
CAPERS_EGS_P7_s000015824_x1d.fits,6.052257767165519
CAPERS_EGS_P7_s000059783_x1d.fits,nan
CAPERS_EGS_P7_s000058134_x1d.fits,nan
CAPERS_EGS_P7_s000095466_x1d.fits,3.001498204187233
CAPERS_EGS_P7_s000050810_x1d.fits,nan
CAPERS_EGS_P7_s000214911_x1d.fits,2.207057732318675
CAPERS_EGS_P7_s000233782_x1d.fits,nan
CAPERS_EGS_P7_s000020952_x1d.fits,5.277633479831968
CAPERS_EGS_P7_s000236489_x1d.fits,nan
CAPERS_EGS_P7_s000233588_x1d.fits,nan
CAPERS_EGS_P7_s000212261_x1d.fits,nan
CAPERS_EGS_P7_s000057952_x1d.fits,nan
CAPERS_EGS_P7_s000058614_x1d.fits,nan
CAPERS_EGS_P7_s000016548_x1d.fits,nan
CAPERS_EGS_P7_s000052779_x1d.fits,nan
CAPERS_EGS_P7_s000022216_x1d.fits,nan
CAPERS_EGS_P7_s000019648_x1d.fits,nan
CAPERS_EGS_P7_s000053328_x1d.fits,4.669144306064771
CAPERS_EGS_P7_s000020687_x1d.fits,nan
CAPERS_EGS_P7_s000025682_x1d.fits,nan
CAPERS_EGS_P7_s000094834_x1d.fits,nan
CAPERS_EGS_P7_s000020520_x1d.fits,nan
CAPERS_EGS_P7_s000027192_x1d.fits,nan
CAPERS_EGS_P7_s000212048_x1d.fits,2.2350400517521956
CAPERS_EGS_P7_s000093879_x1d.fits,nan
CAPERS_EGS_P7_s000030450_x1d.fits,nan
CAPERS_EGS_P7_s000033935_x1d.fits,nan
CAPERS_EGS_P7_s000041342_x1d.fits,1.6857719608045563
CAPERS_EGS_P7_s000023701_x1d.fits,1.7274318605835677
CAPERS_EGS_P7_s000208436_x1d.fits,nan
CAPERS_EGS_P7_s000201756_x1d.fits,nan
CAPERS_EGS_P7_s000215217_x1d.fits,4.35753784194925
CAPERS_EGS_P7_s000061226_x1d.fits,8.88418098359806
CAPERS_EGS_P7_s000043539_x1d.fits,nan
CAPERS_EGS_P7_s000014033_x1d.fits,nan
CAPERS_EGS_P7_s000057543_x1d.fits,nan
CAPERS_EGS_P7_s000022202_x1d.fits,nan
CAPERS_EGS_P7_s000014944_x1d.fits,4.830838225081474
CAPERS_EGS_P7_s000020391_x1d.fits,nan
CAPERS_EGS_P7_s000023553_x1d.fits,nan
CAPERS_EGS_P7_s000235162_x1d.fits,nan
CAPERS_EGS_P7_s000202071_x1d.fits,1.4586672465006512
CAPERS_EGS_P7_s000062981_x1d.fits,nan
CAPERS_EGS_P7_s000056433_x1d.fits,6.541157276968007
CAPERS_EGS_P7_s000094063_x1d.fits,2.2875037640128832
CAPERS_EGS_P7_s000047833_x1d.fits,nan
CAPERS_EGS_P7_s000015678_x1d.fits,nan
CAPERS_EGS_P7_s000202561_x1d.fits,1.8606498642875486
CAPERS_EGS_P7_s000026551_x1d.fits,3.44440801676481
CAPERS_EGS_P7_s000023525_x1d.fits,nan
CAPERS_EGS_P7_s000013630_x1d.fits,nan
CAPERS_EGS_P7_s000061688_x1d.fits,nan
CAPERS_EGS_P7_s000209786_x1d.fits,nan
CAPERS_EGS_P7_s000057073_x1d.fits,nan
CAPERS_EGS_P7_s000096011_x1d.fits,nan
CAPERS_EGS_P7_s000091055_x1d.fits,nan
CAPERS_EGS_P7_s000050626_x1d.fits,nan
CAPERS_EGS_P7_s000065326_x1d.fits,nan
CAPERS_EGS_P7_s000021137_x1d.fits,5.674454553602985
CAPERS_EGS_P7_s000025200_x1d.fits,nan
CAPERS_EGS_P7_s000016857_x1d.fits,nan
CAPERS_EGS_P7_s000037007_x1d.fits,3.7730394816336714
CAPERS_EGS_P7_s000063853_x1d.fits,1.9301362430975546
CAPERS_EGS_P7_s000049291_x1d.fits,5.2609461698080695
CAPERS_EGS_P7_s000029536_x1d.fits,nan
CAPERS_EGS_P7_s000019684_x1d.fits,nan
CAPERS_EGS_P7_s000015850_x1d.fits,nan
CAPERS_EGS_P7_s000053826_x1d.fits,nan
CAPERS_EGS_P7_s000020323_x1d.fits,nan
CAPERS_EGS_P7_s000235462_x1d.fits,nan
CAPERS_EGS_P7_s000029063_x1d.fits,3.291301563384419
CAPERS_EGS_P7_s000020716_x1d.fits,nan
CAPERS_EGS_P7_s000058008_x1d.fits,3.2493525354959933
CAPERS_EGS_P7_s000014368_x1d.fits,5.095071217007615
CAPERS_EGS_P7_s000040036_x1d.fits,4.225747651103396
CAPERS_EGS_P7_s000021609_x1d.fits,1.9153706150848326
CAPERS_EGS_P7_s000094869_x1d.fits,nan
CAPERS_EGS_P7_s000061968_x1d.fits,nan
CAPERS_EGS_P7_s000013818_x1d.fits,nan
CAPERS_EGS_P7_s000063135_x1d.fits,nan
CAPERS_EGS_P7_s000018438_x1d.fits,nan
CAPERS_EGS_P7_s000052995_x1d.fits,4.898056616915517
CAPERS_EGS_P7_s000020048_x1d.fits,nan
CAPERS_EGS_P7_s000026405_x1d.fits,nan
CAPERS_EGS_P7_s000050820_x1d.fits,nan
CAPERS_EGS_P7_s000100160_x1d.fits,nan
CAPERS_EGS_P7_s000012277_x1d.fits,nan
CAPERS_EGS_P7_s000025806_x1d.fits,1.2225137573053244
CAPERS_EGS_P7_s000095897_x1d.fits,nan
CAPERS_EGS_P7_s000048739_x1d.fits,nan
CAPERS_EGS_P7_s000025979_x1d.fits,nan
CAPERS_EGS_P7_s000052361_x1d.fits,6.1330148587570665
CAPERS_EGS_P7_s000016675_x1d.fits,nan
CAPERS_EGS_P7_s000056867_x1d.fits,5.213008655100876
CAPERS_EGS_P7_s000019642_x1d.fits,nan
CAPERS_EGS_P7_s000057540_x1d.fits,3.4415259749973295
CAPERS_EGS_P7_s000026024_x1d.fits,nan
CAPERS_EGS_P7_s000019317_x1d.fits,nan
CAPERS_EGS_P7_s000037891_x1d.fits,nan
CAPERS_EGS_P7_s000025795_x1d.fits,nan
CAPERS_EGS_P7_s000027041_x1d.fits,nan
CAPERS_EGS_P7_s000059330_x1d.fits,nan
CAPERS_EGS_P7_s000064008_x1d.fits,3.611896235285249
CAPERS_EGS_P7_s000016179_x1d.fits,1.42717902154109
CAPERS_EGS_P7_s000232573_x1d.fits,6.554619569894628
CAPERS_EGS_P7_s000040133_x1d.fits,nan
CAPERS_EGS_P7_s000055162_x1d.fits,nan
CAPERS_EGS_P7_s000055859_x1d.fits,5.118118822491286
CAPERS_EGS_P7_s000093706_x1d.fits,nan
CAPERS_EGS_P7_s000024705_x1d.fits,nan
CAPERS_EGS_P7_s000021992_x1d.fits,nan
CAPERS_EGS_P7_s000214667_x1d.fits,2.0160912120797
CAPERS_EGS_P7_s000034272_x1d.fits,nan
CAPERS_EGS_P7_s000054597_x1d.fits,nan
CAPERS_EGS_P7_s000053262_x1d.fits,1.78966372521276
CAPERS_EGS_P7_s000039121_x1d.fits,nan
CAPERS_EGS_P7_s000206438_x1d.fits,2.2997864536470787
CAPERS_EGS_P7_s000233274_x1d.fits,nan
CAPERS_EGS_P7_s000093514_x1d.fits,nan
CAPERS_EGS_P7_s000233636_x1d.fits,nan
CAPERS_EGS_P7_s000062377_x1d.fits,4.350507433669116
CAPERS_EGS_P7_s000047990_x1d.fits,nan
CAPERS_EGS_P7_s000052866_x1d.fits,nan
CAPERS_EGS_P7_s000097690_x1d.fits,nan
CAPERS_EGS_P7_s000053335_x1d.fits,3.342344675279316
CAPERS_EGS_P7_s000014539_x1d.fits,4.373673356172208
CAPERS_EGS_P7_s000093966_x1d.fits,nan
CAPERS_EGS_P7_s000053624_x1d.fits,nan
CAPERS_EGS_P7_s000015250_x1d.fits,nan
CAPERS_EGS_P7_s000048567_x1d.fits,nan
CAPERS_EGS_P7_s000215494_x1d.fits,1.9291030239190667
CAPERS_EGS_P7_s000018119_x1d.fits,nan
CAPERS_EGS_P7_s000014304_x1d.fits,nan
CAPERS_EGS_P7_s000023810_x1d.fits,4.719899658965716
CAPERS_EGS_P7_s000023155_x1d.fits,4.4077176436326555
CAPERS_EGS_P7_s000013847_x1d.fits,nan
CAPERS_EGS_P7_s000024241_x1d.fits,nan
CAPERS_EGS_P7_s000094270_x1d.fits,nan
CAPERS_EGS_P7_s000064230_x1d.fits,nan
CAPERS_EGS_P7_s000034819_x1d.fits,nan
CAPERS_EGS_P7_s000019635_x1d.fits,nan
CAPERS_EGS_P7_s000024591_x1d.fits,5.0089648396580495
CAPERS_EGS_P7_s000092742_x1d.fits,nan
CAPERS_EGS_P7_s000051125_x1d.fits,nan
CAPERS_EGS_P7_s000088569_x1d.fits,nan
CAPERS_EGS_P7_s000026837_x1d.fits,0.5414790857664382
CAPERS_EGS_P7_s000053349_x1d.fits,3.3657641699386973
CAPERS_EGS_P7_s000059259_x1d.fits,nan
CAPERS_EGS_P7_s000234804_x1d.fits,nan
CAPERS_EGS_P7_s000062624_x1d.fits,nan
CAPERS_EGS_P7_s000019962_x1d.fits,nan
CAPERS_EGS_P7_s000016952_x1d.fits,nan
CAPERS_EGS_P7_s000027545_x1d.fits,2.902875950933098
CAPERS_EGS_P7_s000015471_x1d.fits,nan
CAPERS_EGS_P7_s000039534_x1d.fits,nan
CAPERS_EGS_P7_s000022479_x1d.fits,nan
CAPERS_EGS_P7_s000051786_x1d.fits,nan
CAPERS_EGS_P7_s000212740_x1d.fits,nan
CAPERS_EGS_P7_s000012630_x1d.fits,5.099424844067183
CAPERS_EGS_P7_s000021006_x1d.fits,nan
CAPERS_EGS_P7_s000015179_x1d.fits,1.917305972360718
CAPERS_EGS_P7_s000050773_x1d.fits,5.236856703227786
