mask,id,redshift,QOP
6,013702,4.40787,1
6,014191,1.28392,3
6,014197,7.16592,3
6,014728,3.24009,2
6,014729,3.2271,4
6,014831,3.25338,2
6,014974,2.34086,4
6,014999,2.74367,2
6,015056,1.41332,1
6,015163,4.7401,3
6,015225,1.07565,1
6,015345,2.53454,3
6,015407,2.54093,3
6,015979,2.40545,4
6,016317,3.64987,4
6,016394,3.49727,3
6,016421,5.28212,2
6,016467,3.34838,2
6,016534,3.34651,3
6,016546,5.7895,4
6,016557,3.20303,1
6,016579,1.45632,1
6,016700,2.19339,1
6,016759,1.92417,3
6,016919,1.53289,4
6,017021,7.12831,1
6,017080,6.14962,1
6,017159,5.3774,1
6,017239,1.54749,2
6,017272,3.87023,1
6,017273,3.85352,1
6,017369,2.58393,2
6,017379,4.2159,2
6,017459,5.97083,1
6,017585,1.43861,4
6,017635,2.42054,4
6,017706,4.55294,1
6,017737,0.37716,4
6,017740,2.01577,4
6,017900,3.27129,4
6,017977,4.02652,2
6,017997,6.40537,1
6,018084,3.63504,3
6,018186,2.03947,2
6,018303,2.95046,4
6,018308,1.80882,3
6,018351,1.10892,2
6,018416,4.03517,4
6,018449,3.35658,3
6,018465,0.55409,3
6,018546,5.75569,1
6,018549,3.61884,1
6,018572,4.32982,1
6,018575,2.58016,1
6,018771,1.1933,3
6,018883,2.31686,3
6,018897,2.90712,3
6,018921,4.69119,2
6,019000,3.46324,1
6,019066,0.46035,1
6,019221,1.90733,3
6,019261,2.00765,3
6,019367,5.21667,4
6,019455,2.02642,4
6,019587,3.45462,4
6,019630,1.20903,4
6,019799,4.23228,4
6,019837,6.63027,1
6,020024,3.12536,4
6,020292,1.22592,2
6,020562,1.73678,2
6,020566,3.71164,1
6,020638,5.10166,1
6,020643,2.62907,3
6,020660,1.06428,3
6,020740,1.7939,4
6,020748,1.2135,4
6,020787,5.42933,1
6,020809,1.70754,1
6,020829,2.1377,2
6,020864,5.80117,1
6,020872,3.11914,2
6,020946,5.9088,1
6,020992,3.05452,4
6,021132,2.39257,4
6,021172,3.92562,1
6,021284,2.75505,4
6,021286,3.89651,1
6,021296,1.46997,4
6,021360,4.56072,4
6,021361,4.56552,4
6,021362,4.87743,1
6,021384,0.84311,4
6,021390,2.30016,3
6,021429,1.33812,1
6,021539,1.54495,1
6,021541,1.06896,3
6,021556,1.46858,2
6,021698,1.21433,3
6,021703,3.54064,1
6,021737,3.25491,1
6,021746,3.50921,4
6,021759,4.12795,3
6,021770,3.44223,3
6,021955,3.24627,4
6,022085,4.55319,4
6,022198,3.88184,4
6,022230,5.09368,4
6,022237,2.65016,4
6,022256,5.24967,2
6,022295,2.38432,3
6,022404,5.22511,3
6,022509,1.15419,1
6,022559,4.55452,4
6,022595,3.44581,4
6,022637,6.08361,1
6,022767,3.24376,4
6,022793,2.57978,4
6,022893,3.77578,4
6,022957,5.2568,4
6,022981,3.76972,3
6,023199,4.99145,1
6,023496,3.44857,2
6,023538,5.24989,4
6,023597,6.96887,4
6,023616,5.51192,1
6,023735,2.96179,2
6,023813,3.85292,4
6,023867,3.64783,3
6,023868,1.77925,1
6,023938,0.7192,1
6,023975,3.4433,4
6,024260,3.4626,3
6,024271,0.47228,3
6,024296,1.98593,3
6,024315,5.23909,3
6,024425,5.23987,4
6,024514,4.60272,2
6,024920,5.98484,3
6,025030,1.3591,2
6,025175,1.70384,4
6,025423,5.68228,4
6,025424,3.98698,1
6,025573,5.68662,1
6,025602,7.18586,1
6,025683,1.89769,2
6,025707,1.41191,2
6,025916,1.95135,3
6,026030,4.96561,1
6,026138,1.28582,3
6,026155,3.35871,3
6,026221,2.74553,2
6,026322,3.72508,1
6,026721,1.06008,3
6,026728,1.40341,2
6,026969,5.10235,1
6,026976,0.92035,2
6,027032,1.48036,3
6,027044,5.72087,3
6,027050,5.15525,3
6,027057,5.9868,3
6,027069,5.15079,4
6,027083,5.7138,4
6,027120,1.62451,1
6,027343,3.01501,1
6,027409,3.44729,1
6,027530,0.58785,4
6,027615,5.71521,4
6,027636,1.59553,1
6,027691,0.95033,2
6,027747,1.16883,1
6,027748,1.53082,2
6,027823,3.40146,4
6,027933,2.43113,4
6,028224,2.1587,1
6,028353,1.19282,3
6,028368,2.95671,4
6,028383,3.2433,3
6,028858,2.56819,2
6,028945,8.79028,4
6,029045,3.28005,3
6,029151,0.70257,1
6,029169,2.87357,4
6,029195,7.15417,1
6,029350,6.54878,1
6,029528,6.42143,1
6,029666,1.69974,3
6,029673,1.68179,3
6,029815,2.70573,2
6,029978,2.91387,4
6,030065,2.66511,1
6,030066,2.8373,1
6,030076,0.97641,1
6,030099,2.54753,3
6,030177,4.40764,3
6,030192,5.29126,4
6,030322,4.756,1
6,030396,6.19082,3
6,030484,1.22013,2
6,030739,5.15759,1
6,030961,5.24353,3
6,033372,3.73714,1
6,033425,2.92103,1
6,033594,6.19338,1
6,033717,0.40824,1
6,033856,1.44448,1
6,034014,3.60339,1
6,034107,4.0475,1
6,034132,7.01032,3
6,034146,4.18646,1
6,034270,2.51186,1
6,034286,6.22482,1
6,034434,4.38176,1
6,034457,3.61528,1
6,034590,0.94125,1
6,034935,8.84839,2
6,035276,3.4877,3
6,035345,4.2523,2
6,035346,2.9181,1
6,035362,4.4167,2
