file,z
CAPERS_UDS_P5_s000035483_x1d.fits,2.3329084101898454
CAPERS_UDS_P5_s000033271_x1d.fits,nan
CAPERS_UDS_P5_s000075425_x1d.fits,1.4031288066214138
CAPERS_UDS_P5_s000098844_x1d.fits,nan
CAPERS_UDS_P5_s000029938_x1d.fits,nan
CAPERS_UDS_P5_s000093318_x1d.fits,5.2318783404466656
CAPERS_UDS_P5_s000036641_x1d.fits,nan
CAPERS_UDS_P5_s000032520_x1d.fits,5.137941801217066
CAPERS_UDS_P5_s000036995_x1d.fits,nan
CAPERS_UDS_P5_s000073774_x1d.fits,1.4612537515075332
CAPERS_UDS_P5_s000081457_x1d.fits,nan
CAPERS_UDS_P5_s000033326_x1d.fits,nan
CAPERS_UDS_P5_s000027926_x1d.fits,nan
CAPERS_UDS_P5_s000031829_x1d.fits,nan
CAPERS_UDS_P5_s000096539_x1d.fits,2.6971498111871894
CAPERS_UDS_P5_s000098316_x1d.fits,5.308048005253583
CAPERS_UDS_P5_s000095095_x1d.fits,6.559687928903929
CAPERS_UDS_P5_s000025938_x1d.fits,5.774051807968112
CAPERS_UDS_P5_s000091508_x1d.fits,2.619660915956065
CAPERS_UDS_P5_s000078472_x1d.fits,nan
CAPERS_UDS_P5_s000082305_x1d.fits,2.2881331439024915
CAPERS_UDS_P5_s000029001_x1d.fits,nan
CAPERS_UDS_P5_s000037952_x1d.fits,nan
CAPERS_UDS_P5_s000081127_x1d.fits,nan
CAPERS_UDS_P5_s000094422_x1d.fits,nan
CAPERS_UDS_P5_s000027211_x1d.fits,nan
CAPERS_UDS_P5_s000096205_x1d.fits,nan
CAPERS_UDS_P5_s000089902_x1d.fits,nan
CAPERS_UDS_P5_s000035918_x1d.fits,2.6415555412475444
CAPERS_UDS_P5_s000079319_x1d.fits,nan
CAPERS_UDS_P5_s000084729_x1d.fits,nan
CAPERS_UDS_P5_s000100039_x1d.fits,1.6247659461903483
CAPERS_UDS_P5_s000035141_x1d.fits,nan
CAPERS_UDS_P5_s000076889_x1d.fits,4.072662784216627
CAPERS_UDS_P5_s000081316_x1d.fits,nan
CAPERS_UDS_P5_s000095747_x1d.fits,3.6543744549866517
CAPERS_UDS_P5_s000035414_x1d.fits,nan
CAPERS_UDS_P5_s000035372_x1d.fits,3.238799967307732
CAPERS_UDS_P5_s000078885_x1d.fits,nan
CAPERS_UDS_P5_s000034489_x1d.fits,5.358924444406981
CAPERS_UDS_P5_s000026533_x1d.fits,2.2714857463710962
CAPERS_UDS_P5_s000098509_x1d.fits,nan
CAPERS_UDS_P5_s000098579_x1d.fits,2.283797373237404
CAPERS_UDS_P5_s000035123_x1d.fits,1.0884119966726757
CAPERS_UDS_P5_s000029002_x1d.fits,0.7586923056071657
CAPERS_UDS_P5_s000079368_x1d.fits,nan
CAPERS_UDS_P5_s000084908_x1d.fits,nan
CAPERS_UDS_P5_s000079401_x1d.fits,nan
CAPERS_UDS_P5_s000094985_x1d.fits,3.7184955771392705
CAPERS_UDS_P5_s000083827_x1d.fits,4.810406957054557
CAPERS_UDS_P5_s000030027_x1d.fits,4.448156901169662
CAPERS_UDS_P5_s000098069_x1d.fits,nan
CAPERS_UDS_P5_s000092145_x1d.fits,2.625554954646137
CAPERS_UDS_P5_s000034833_x1d.fits,nan
CAPERS_UDS_P5_s000036152_x1d.fits,1.9352605660732212
CAPERS_UDS_P5_s000027778_x1d.fits,nan
CAPERS_UDS_P5_s000026804_x1d.fits,nan
CAPERS_UDS_P5_s000078156_x1d.fits,nan
CAPERS_UDS_P5_s000030705_x1d.fits,2.358499004332777
CAPERS_UDS_P5_s000027013_x1d.fits,1.7262763099373974
CAPERS_UDS_P5_s000027120_x1d.fits,nan
CAPERS_UDS_P5_s000029939_x1d.fits,nan
CAPERS_UDS_P5_s000092994_x1d.fits,1.7474246149842125
CAPERS_UDS_P5_s000033555_x1d.fits,nan
CAPERS_UDS_P5_s000026405_x1d.fits,3.517209251316955
CAPERS_UDS_P5_s000083157_x1d.fits,nan
CAPERS_UDS_P5_s000028042_x1d.fits,nan
CAPERS_UDS_P5_s000097250_x1d.fits,nan
CAPERS_UDS_P5_s000094603_x1d.fits,nan
CAPERS_UDS_P5_s000026775_x1d.fits,3.228075178697577
CAPERS_UDS_P5_s000095782_x1d.fits,7.25325600372857
CAPERS_UDS_P5_s000032493_x1d.fits,2.303903911507532
CAPERS_UDS_P5_s000035595_x1d.fits,4.131504458059254
CAPERS_UDS_P5_s000102764_x1d.fits,nan
CAPERS_UDS_P5_s000031000_x1d.fits,nan
CAPERS_UDS_P5_s000102124_x1d.fits,2.2724983229807614
CAPERS_UDS_P5_s000079439_x1d.fits,nan
CAPERS_UDS_P5_s000082550_x1d.fits,nan
CAPERS_UDS_P5_s000031327_x1d.fits,2.2801670252904467
CAPERS_UDS_P5_s000086840_x1d.fits,6.109693455224697
CAPERS_UDS_P5_s000081920_x1d.fits,3.6162526817850704
CAPERS_UDS_P5_s000027031_x1d.fits,nan
CAPERS_UDS_P5_s000096647_x1d.fits,nan
CAPERS_UDS_P5_s000028227_x1d.fits,1.9348789437703928
CAPERS_UDS_P5_s000027904_x1d.fits,nan
CAPERS_UDS_P5_s000089009_x1d.fits,nan
CAPERS_UDS_P5_s000035282_x1d.fits,3.249950125870246
CAPERS_UDS_P5_s000097121_x1d.fits,6.784637072521078
CAPERS_UDS_P5_s000033755_x1d.fits,6.998548583496777
CAPERS_UDS_P5_s000085451_x1d.fits,nan
CAPERS_UDS_P5_s000087698_x1d.fits,nan
CAPERS_UDS_P5_s000031968_x1d.fits,3.816410997229611
CAPERS_UDS_P5_s000029998_x1d.fits,3.9827897384396707
CAPERS_UDS_P5_s000084772_x1d.fits,3.717143737523272
CAPERS_UDS_P5_s000029620_x1d.fits,4.811475570402039
CAPERS_UDS_P5_s000034800_x1d.fits,nan
CAPERS_UDS_P5_s000082699_x1d.fits,nan
CAPERS_UDS_P5_s000076202_x1d.fits,3.0796618750168223
CAPERS_UDS_P5_s000026325_x1d.fits,2.24613670559531
CAPERS_UDS_P5_s000102363_x1d.fits,3.2152261934000403
CAPERS_UDS_P5_s000026531_x1d.fits,1.8597513358464899
CAPERS_UDS_P5_s000033767_x1d.fits,nan
CAPERS_UDS_P5_s000026592_x1d.fits,4.581941294151079
CAPERS_UDS_P5_s000087534_x1d.fits,nan
CAPERS_UDS_P5_s000102845_x1d.fits,nan
CAPERS_UDS_P5_s000097698_x1d.fits,nan
CAPERS_UDS_P5_s000037438_x1d.fits,5.907298128262522
CAPERS_UDS_P5_s000037289_x1d.fits,nan
CAPERS_UDS_P5_s000027878_x1d.fits,nan
CAPERS_UDS_P5_s000033532_x1d.fits,nan
CAPERS_UDS_P5_s000028312_x1d.fits,1.8617983929097166
CAPERS_UDS_P5_s000031187_x1d.fits,1.9598528547917438
CAPERS_UDS_P5_s000095066_x1d.fits,4.442191913072187
CAPERS_UDS_P5_s000041672_x1d.fits,1.189038731700912
CAPERS_UDS_P5_s000035195_x1d.fits,nan
CAPERS_UDS_P5_s000034233_x1d.fits,nan
CAPERS_UDS_P5_s000025720_x1d.fits,3.1334051085412096
CAPERS_UDS_P5_s000028597_x1d.fits,9.207582667651518
CAPERS_UDS_P5_s000025083_x1d.fits,1.6551630554013221
CAPERS_UDS_P5_s000093044_x1d.fits,1.9231229656014537
CAPERS_UDS_P5_s000090083_x1d.fits,nan
CAPERS_UDS_P5_s000076857_x1d.fits,nan
CAPERS_UDS_P5_s000032928_x1d.fits,2.7744413337379914
CAPERS_UDS_P5_s000090718_x1d.fits,nan
CAPERS_UDS_P5_s000030793_x1d.fits,5.7716547655730706
CAPERS_UDS_P5_s000101777_x1d.fits,5.1189911668829655
CAPERS_UDS_P5_s000033221_x1d.fits,1.6754997722731635
CAPERS_UDS_P5_s000089601_x1d.fits,8.821625510113478
CAPERS_UDS_P5_s000085100_x1d.fits,nan
CAPERS_UDS_P5_s000082043_x1d.fits,4.468699184837964
CAPERS_UDS_P5_s000094363_x1d.fits,nan
CAPERS_UDS_P5_s000025528_x1d.fits,nan
CAPERS_UDS_P5_s000081437_x1d.fits,4.426376385438316
CAPERS_UDS_P5_s000082491_x1d.fits,nan
CAPERS_UDS_P5_s000027822_x1d.fits,4.15611818838148
CAPERS_UDS_P5_s000032847_x1d.fits,3.4098166093774864
CAPERS_UDS_P5_s000028819_x1d.fits,2.1545077557427916
CAPERS_UDS_P5_s000029970_x1d.fits,2.778690356734539
CAPERS_UDS_P5_s000076692_x1d.fits,nan
CAPERS_UDS_P5_s000078352_x1d.fits,1.6089324468740256
CAPERS_UDS_P5_s000027685_x1d.fits,1.4852383233017625
CAPERS_UDS_P5_s000029802_x1d.fits,nan
CAPERS_UDS_P5_s000029143_x1d.fits,2.5291522373499964
CAPERS_UDS_P5_s000035550_x1d.fits,2.5901337012855197
CAPERS_UDS_P5_s000091188_x1d.fits,nan
CAPERS_UDS_P5_s000100215_x1d.fits,nan
CAPERS_UDS_P5_s000033114_x1d.fits,1.6565445971601567
CAPERS_UDS_P5_s000103825_x1d.fits,3.608433047097101
CAPERS_UDS_P5_s000027720_x1d.fits,2.3653278313049286
CAPERS_UDS_P5_s000084026_x1d.fits,nan
CAPERS_UDS_P5_s000085711_x1d.fits,nan
CAPERS_UDS_P5_s000102871_x1d.fits,nan
CAPERS_UDS_P5_s000157420_x1d.fits,nan
CAPERS_UDS_P5_s000033306_x1d.fits,1.5571283047513997
CAPERS_UDS_P5_s000033733_x1d.fits,nan
CAPERS_UDS_P5_s000085310_x1d.fits,nan
CAPERS_UDS_P5_s000038408_x1d.fits,nan
CAPERS_UDS_P5_s000093510_x1d.fits,nan
CAPERS_UDS_P5_s000095853_x1d.fits,nan
CAPERS_UDS_P5_s000076158_x1d.fits,nan
CAPERS_UDS_P5_s000084844_x1d.fits,5.959416164088391
CAPERS_UDS_P5_s000025410_x1d.fits,nan
CAPERS_UDS_P5_s000028728_x1d.fits,nan
CAPERS_UDS_P5_s000096994_x1d.fits,nan
CAPERS_UDS_P5_s000096594_x1d.fits,nan
CAPERS_UDS_P5_s000083976_x1d.fits,nan
CAPERS_UDS_P5_s000034617_x1d.fits,nan
CAPERS_UDS_P5_s000032249_x1d.fits,1.643672534751397
CAPERS_UDS_P5_s000083687_x1d.fits,5.350191953250313
CAPERS_UDS_P5_s000030562_x1d.fits,nan
CAPERS_UDS_P5_s000027032_x1d.fits,nan
CAPERS_UDS_P5_s000082335_x1d.fits,3.486367210599984
CAPERS_UDS_P5_s000102822_x1d.fits,nan
CAPERS_UDS_P5_s000095814_x1d.fits,nan
CAPERS_UDS_P5_s000089837_x1d.fits,nan
CAPERS_UDS_P5_s000035925_x1d.fits,3.6987045018382956
CAPERS_UDS_P5_s000085603_x1d.fits,nan
CAPERS_UDS_P5_s000026614_x1d.fits,nan
CAPERS_UDS_P5_s000027837_x1d.fits,nan
CAPERS_UDS_P5_s000030481_x1d.fits,3.825150630944071
CAPERS_UDS_P5_s000087631_x1d.fits,nan
CAPERS_UDS_P5_s000076819_x1d.fits,4.0734316538450175
CAPERS_UDS_P5_s000033214_x1d.fits,nan
CAPERS_UDS_P5_s000027713_x1d.fits,nan
CAPERS_UDS_P5_s000096580_x1d.fits,6.09377412241758
CAPERS_UDS_P5_s000034289_x1d.fits,nan
