,sample,id,pointing,MPT_number,z_UNICORN,z_manual,notes
0,CAPERS_UDS_V0.4,s000066008,P4,66008,0.61,4.55,-
1,CAPERS_UDS_V0.4,s000035748,P4,35748,4.12,3.97,-
2,CAPERS_UDS_V0.4,s000062217,P4,62217,1.06,NaN,-
3,CAPERS_UDS_V0.4,s000044027,P4,44027,4.57,4.610677,-
4,CAPERS_UDS_V0.4,s000036211,P4,36211,1.12,1.170363,-
5,CAPERS_UDS_V0.4,s000042218,P4,42218,5.17,5.198051,-
6,CAPERS_UDS_V0.4,s000043642,P4,43642,0.37,2.124236,-
7,CAPERS_UDS_V0.4,s000038782,P4,38782,0.79,3.86,-
8,CAPERS_UDS_V0.4,s000063421,P4,63421,0.13,NaN,-
9,CAPERS_UDS_V0.4,s000044397,P4,44397,1.63,NaN,-
10,CAPERS_UDS_V0.4,s000041436,P4,41436,2.62,2.527319,-
11,CAPERS_UDS_V0.4,s000036321,P4,36321,1.63,NaN,-
12,CAPERS_UDS_V0.4,s000057154,P4,57154,0.7,NaN,-
13,CAPERS_UDS_V0.4,s000040070,P4,40070,4.12,4.38,-
14,CAPERS_UDS_V0.4,s000045591,P4,45591,2.44,1.87647,-
15,CAPERS_UDS_V0.4,s000040677,P4,40677,1.57,1.643759,-
16,CAPERS_UDS_V0.4,s000044392,P4,44392,1.99,2.24,-
17,CAPERS_UDS_V0.4,s000060277,P4,60277,2.98,NaN,-
18,CAPERS_UDS_V0.4,s000038926,P4,38926,0.76,4.529103,-
19,CAPERS_UDS_V0.4,s000046820,P4,46820,2.17,2.31,-
20,CAPERS_UDS_V0.4,s000060771,P4,60771,0.61,NaN,-
21,CAPERS_UDS_V0.4,s000041008,P4,41008,5.56,5.206382,-
22,CAPERS_UDS_V0.4,s000044629,P4,44629,0.73,0.777023,-
23,CAPERS_UDS_V0.4,s000067165,P4,67165,6.25,6.34,-
24,CAPERS_UDS_V0.4,s000080951,P4,80951,2.68,2.534416,-
25,CAPERS_UDS_V0.4,s000060251,P4,60251,3.4,3.088127,-
26,CAPERS_UDS_V0.4,s000062169,P4,62169,0.37,NaN,-
27,CAPERS_UDS_V0.4,s000035204,P4,35204,2.29,2.35,-
28,CAPERS_UDS_V0.4,s000034953,P4,34953,0.67,0.643987,-
29,CAPERS_UDS_V0.4,s000038542,P4,38542,0.88,0.889091,-
30,CAPERS_UDS_V0.4,s000078907,P4,78907,3.4,NaN,-
31,CAPERS_UDS_V0.4,s000042998,P4,42998,1.87,1.909957,-
32,CAPERS_UDS_V0.4,s000036844,P4,36844,1.78,2.19602,-
33,CAPERS_UDS_V0.4,s000042655,P4,42655,0.49,0.628278,-
34,CAPERS_UDS_V0.4,s000076808,P4,76808,2.56,3.82,-
35,CAPERS_UDS_V0.4,s000079729,P4,79729,2.41,NaN,-
36,CAPERS_UDS_V0.4,s000035051,P4,35051,1.54,1.439662,-
37,CAPERS_UDS_V0.4,s000155692,P4,155692,2.44,NaN,-
38,CAPERS_UDS_V0.4,s000079177,P4,79177,0.07,2.539529,-
39,CAPERS_UDS_V0.4,s000035050,P4,35050,1.66,NaN,-
40,CAPERS_UDS_V0.4,s000045722,P4,45722,2.29,2.29,-
41,CAPERS_UDS_V0.4,s000043245,P4,43245,1.27,1.187288,-
42,CAPERS_UDS_V0.4,s000033970,P4,33970,1.06,1.06,-
43,CAPERS_UDS_V0.4,s000083800,P4,83800,1.21,1.215222,-
44,CAPERS_UDS_V0.4,s000081025,P4,81025,14.2,3.112512,-
45,CAPERS_UDS_V0.4,s000070416,P4,70416,4.36,NaN,-
46,CAPERS_UDS_V0.4,s000035444,P4,35444,1.87,NaN,-
47,CAPERS_UDS_V0.4,s000043945,P4,43945,0.85,0.833864,-
48,CAPERS_UDS_V0.4,s000040686,P4,40686,1.69,NaN,-
49,CAPERS_UDS_V0.4,s000071030,P4,71030,5.83,0.634264,maybe inverted continuum?
50,CAPERS_UDS_V0.4,s000043046,P4,43046,1.84,NaN,-
51,CAPERS_UDS_V0.4,s000061028,P4,61028,3.46,NaN,-
52,CAPERS_UDS_V0.4,s000032179,P4,32179,1.3,1.3,-
53,CAPERS_UDS_V0.4,s000057138,P4,57138,2.53,NaN,-
54,CAPERS_UDS_V0.4,s000042842,P4,42842,0.97,0.986682,-
55,CAPERS_UDS_V0.4,s000033629,P4,33629,1.0,0.986297,-
56,CAPERS_UDS_V0.4,s000066213,P4,66213,3.79,2.53454,-
