              sample          id                                      file  z_manual
0    CAPERS_UDS_V0.1  s000000501  CAPERS_UDS_P3_s000000501_x1d_optext.fits      1.91
1    CAPERS_UDS_V0.1  s000001279  CAPERS_UDS_P3_s000001279_x1d_optext.fits      1.03
2    CAPERS_UDS_V0.1  s000001294  CAPERS_UDS_P3_s000001294_x1d_optext.fits      2.28
3    CAPERS_UDS_V0.1  s000002064  CAPERS_UDS_P3_s000002064_x1d_optext.fits      4.17
4    CAPERS_UDS_V0.1  s000002356  CAPERS_UDS_P3_s000002356_x1d_optext.fits      5.79
5    CAPERS_UDS_V0.1  s000002405  CAPERS_UDS_P3_s000002405_x1d_optext.fits      1.82
6    CAPERS_UDS_V0.1  s000002502  CAPERS_UDS_P3_s000002502_x1d_optext.fits      0.43
7    CAPERS_UDS_V0.1  s000002822  CAPERS_UDS_P2_s000002822_x1d_optext.fits      2.29
8    CAPERS_UDS_V0.1  s000003099  CAPERS_UDS_P3_s000003099_x1d_optext.fits      0.81
9    CAPERS_UDS_V0.1  s000003126  CAPERS_UDS_P3_s000003126_x1d_optext.fits      2.17
10   CAPERS_UDS_V0.1  s000003184  CAPERS_UDS_P3_s000003184_x1d_optext.fits      1.23
11   CAPERS_UDS_V0.1  s000003288  CAPERS_UDS_P3_s000003288_x1d_optext.fits      2.53
12   CAPERS_UDS_V0.1  s000003434  CAPERS_UDS_P3_s000003434_x1d_optext.fits      2.95
13   CAPERS_UDS_V0.1  s000003491  CAPERS_UDS_P3_s000003491_x1d_optext.fits      3.78
14   CAPERS_UDS_V0.1  s000003581  CAPERS_UDS_P3_s000003581_x1d_optext.fits      3.20
15   CAPERS_UDS_V0.1  s000003587  CAPERS_UDS_P3_s000003587_x1d_optext.fits      0.31
16   CAPERS_UDS_V0.1  s000003671  CAPERS_UDS_P3_s000003671_x1d_optext.fits      1.08
17   CAPERS_UDS_V0.1  s000003687  CAPERS_UDS_P3_s000003687_x1d_optext.fits      1.91
18   CAPERS_UDS_V0.1  s000003737  CAPERS_UDS_P3_s000003737_x1d_optext.fits      2.29
19   CAPERS_UDS_V0.1  s000003772  CAPERS_UDS_P3_s000003772_x1d_optext.fits      6.49
20   CAPERS_UDS_V0.1  s000003810  CAPERS_UDS_P3_s000003810_x1d_optext.fits      1.71
21   CAPERS_UDS_V0.1  s000004157  CAPERS_UDS_P3_s000004157_x1d_optext.fits      1.91
22   CAPERS_UDS_V0.1  s000004166  CAPERS_UDS_P2_s000004166_x1d_optext.fits      5.78
23   CAPERS_UDS_V0.1  s000004227  CAPERS_UDS_P3_s000004227_x1d_optext.fits      2.07
24   CAPERS_UDS_V0.1  s000004275  CAPERS_UDS_P2_s000004275_x1d_optext.fits      6.84
25   CAPERS_UDS_V0.1  s000004341  CAPERS_UDS_P3_s000004341_x1d_optext.fits      2.01
26   CAPERS_UDS_V0.1  s000004355  CAPERS_UDS_P3_s000004355_x1d_optext.fits      2.41
27   CAPERS_UDS_V0.1  s000004557  CAPERS_UDS_P2_s000004557_x1d_optext.fits      3.57
28   CAPERS_UDS_V0.1  s000004613  CAPERS_UDS_P2_s000004613_x1d_optext.fits      5.25
29   CAPERS_UDS_V0.1  s000004679  CAPERS_UDS_P2_s000004679_x1d_optext.fits      1.92
30   CAPERS_UDS_V0.1  s000004709  CAPERS_UDS_P3_s000004709_x1d_optext.fits      2.77
31   CAPERS_UDS_V0.1  s000004827  CAPERS_UDS_P3_s000004827_x1d_optext.fits      1.35
32   CAPERS_UDS_V0.1  s000004831  CAPERS_UDS_P3_s000004831_x1d_optext.fits      3.52
33   CAPERS_UDS_V0.1  s000004854  CAPERS_UDS_P2_s000004854_x1d_optext.fits      4.54
34   CAPERS_UDS_V0.1  s000004857  CAPERS_UDS_P3_s000004857_x1d_optext.fits      2.62
35   CAPERS_UDS_V0.1  s000004903  CAPERS_UDS_P3_s000004903_x1d_optext.fits      2.57
36   CAPERS_UDS_V0.1  s000004944  CAPERS_UDS_P3_s000004944_x1d_optext.fits      3.48
37   CAPERS_UDS_V0.1  s000004988  CAPERS_UDS_P2_s000004988_x1d_optext.fits      1.12
38   CAPERS_UDS_V0.1  s000005105  CAPERS_UDS_P3_s000005105_x1d_optext.fits      1.70
39   CAPERS_UDS_V0.1  s000005149  CAPERS_UDS_P3_s000005149_x1d_optext.fits      1.97
40   CAPERS_UDS_V0.1  s000005304  CAPERS_UDS_P2_s000005304_x1d_optext.fits      0.04
41   CAPERS_UDS_V0.1  s000005307  CAPERS_UDS_P3_s000005307_x1d_optext.fits      1.68
42   CAPERS_UDS_V0.1  s000005378  CAPERS_UDS_P2_s000005378_x1d_optext.fits      2.97
43   CAPERS_UDS_V0.1  s000005430  CAPERS_UDS_P2_s000005430_x1d_optext.fits      0.37
44   CAPERS_UDS_V0.1  s000005474  CAPERS_UDS_P2_s000005474_x1d_optext.fits      0.77
45   CAPERS_UDS_V0.1  s000005510  CAPERS_UDS_P2_s000005510_x1d_optext.fits      4.54
46   CAPERS_UDS_V0.1  s000005548  CAPERS_UDS_P3_s000005548_x1d_optext.fits      1.79
47   CAPERS_UDS_V0.1  s000005570  CAPERS_UDS_P3_s000005570_x1d_optext.fits      0.56
48   CAPERS_UDS_V0.1  s000005645  CAPERS_UDS_P2_s000005645_x1d_optext.fits      1.04
49   CAPERS_UDS_V0.1  s000005657  CAPERS_UDS_P2_s000005657_x1d_optext.fits      3.61
50   CAPERS_UDS_V0.1  s000005694  CAPERS_UDS_P3_s000005694_x1d_optext.fits      2.54
51   CAPERS_UDS_V0.1  s000005703  CAPERS_UDS_P2_s000005703_x1d_optext.fits      2.09
52   CAPERS_UDS_V0.1  s000005811  CAPERS_UDS_P2_s000005811_x1d_optext.fits      3.10
53   CAPERS_UDS_V0.1  s000005933  CAPERS_UDS_P2_s000005933_x1d_optext.fits      2.40
54   CAPERS_UDS_V0.1  s000006050  CAPERS_UDS_P2_s000006050_x1d_optext.fits      2.27
55   CAPERS_UDS_V0.1  s000006054  CAPERS_UDS_P2_s000006054_x1d_optext.fits      3.56
56   CAPERS_UDS_V0.1  s000006267  CAPERS_UDS_P2_s000006267_x1d_optext.fits      6.26
57   CAPERS_UDS_V0.1  s000006309  CAPERS_UDS_P2_s000006309_x1d_optext.fits      0.91
58   CAPERS_UDS_V0.1  s000006363  CAPERS_UDS_P2_s000006363_x1d_optext.fits      3.95
59   CAPERS_UDS_V0.1  s000006445  CAPERS_UDS_P2_s000006445_x1d_optext.fits      1.06
60   CAPERS_UDS_V0.1  s000006503  CAPERS_UDS_P3_s000006503_x1d_optext.fits      0.94
