              sample          id                                      file   z_manual                                                           Notes
0    CAPERS_UDS_V0.1  s000000299  CAPERS_UDS_P3_s000000299_x1d_optext.fits   0.858380                                                                
1    CAPERS_UDS_V0.1  s000078352  CAPERS_UDS_P5_s000078352_x1d_optext.fits   1.607166                         Higher_redshift_than_expected_few_lines
2    CAPERS_UDS_V0.1  s000078472  CAPERS_UDS_P5_s000078472_x1d_optext.fits   2.656057                                                                
3    CAPERS_UDS_V0.1  s000081437  CAPERS_UDS_P5_s000081437_x1d_optext.fits   4.410000                                                                
4    CAPERS_UDS_V0.1  s000081920  CAPERS_UDS_P5_s000081920_x1d_optext.fits   5.070000                                                                
5    CAPERS_UDS_V0.1  s000082043  CAPERS_UDS_P5_s000082043_x1d_optext.fits   4.450000                                                                
6    CAPERS_UDS_V0.1  s000082305  CAPERS_UDS_P5_s000082305_x1d_optext.fits   2.300000                                                                
7    CAPERS_UDS_V0.1  s000082335  CAPERS_UDS_P5_s000082335_x1d_optext.fits   3.470000                                                                
8    CAPERS_UDS_V0.1  s000083687  CAPERS_UDS_P5_s000083687_x1d_optext.fits   5.340000                                                                
9    CAPERS_UDS_V0.1  s000078156  CAPERS_UDS_P5_s000078156_x1d_optext.fits   4.550000                                                                
10   CAPERS_UDS_V0.1  s000083827  CAPERS_UDS_P5_s000083827_x1d_optext.fits   4.800000                                                                
11   CAPERS_UDS_V0.1  s000084772  CAPERS_UDS_P5_s000084772_x1d_optext.fits   3.700000                                                                
12   CAPERS_UDS_V0.1  s000084844  CAPERS_UDS_P5_s000084844_x1d_optext.fits   5.950000                                                                
13   CAPERS_UDS_V0.1  s000085100  CAPERS_UDS_P5_s000085100_x1d_optext.fits   1.396951                                                                
14   CAPERS_UDS_V0.1  s000085310  CAPERS_UDS_P5_s000085310_x1d_optext.fits   5.158634                                                                
15   CAPERS_UDS_V0.1  s000086840  CAPERS_UDS_P5_s000086840_x1d_optext.fits   6.121841                                                                
16   CAPERS_UDS_V0.1  s000089601  CAPERS_UDS_P5_s000089601_x1d_optext.fits   8.830000                                                                
17   CAPERS_UDS_V0.1  s000092145  CAPERS_UDS_P5_s000092145_x1d_optext.fits   2.600000                                                                
18   CAPERS_UDS_V0.1  s000092994  CAPERS_UDS_P5_s000092994_x1d_optext.fits   1.764247                                                                
19   CAPERS_UDS_V0.1  s000083976  CAPERS_UDS_P5_s000083976_x1d_optext.fits   7.175409                                                       No_signal
20   CAPERS_UDS_V0.1  s000076889  CAPERS_UDS_P5_s000076889_x1d_optext.fits   4.070000                                                                
21   CAPERS_UDS_V0.1  s000076819  CAPERS_UDS_P5_s000076819_x1d_optext.fits   4.060000                                                                
22   CAPERS_UDS_V0.1  s000076202  CAPERS_UDS_P5_s000076202_x1d_optext.fits   3.080000                                                                
23   CAPERS_UDS_V0.1  s000034489  CAPERS_UDS_P5_s000034489_x1d_optext.fits   5.360000                                                                
24   CAPERS_UDS_V0.1  s000034833  CAPERS_UDS_P5_s000034833_x1d_optext.fits   1.270000                                                                
25   CAPERS_UDS_V0.1  s000035123  CAPERS_UDS_P5_s000035123_x1d_optext.fits   1.090000                                                                
26   CAPERS_UDS_V0.1  s000035195  CAPERS_UDS_P5_s000035195_x1d_optext.fits   1.040000                                                                
27   CAPERS_UDS_V0.1  s000035282  CAPERS_UDS_P5_s000035282_x1d_optext.fits   3.240000                                                                
28   CAPERS_UDS_V0.1  s000035372  CAPERS_UDS_P5_s000035372_x1d_optext.fits   3.250000                                                                
29   CAPERS_UDS_V0.1  s000035483  CAPERS_UDS_P5_s000035483_x1d_optext.fits   2.324656                                                                
30   CAPERS_UDS_V0.1  s000035550  CAPERS_UDS_P5_s000035550_x1d_optext.fits   2.604401                                                                
31   CAPERS_UDS_V0.1  s000035595  CAPERS_UDS_P5_s000035595_x1d_optext.fits   4.120000                                                                
32   CAPERS_UDS_V0.1  s000035918  CAPERS_UDS_P5_s000035918_x1d_optext.fits   2.648533                                                                
33   CAPERS_UDS_V0.1  s000035925  CAPERS_UDS_P5_s000035925_x1d_optext.fits   3.710000                                                                
34   CAPERS_UDS_V0.1  s000036152  CAPERS_UDS_P5_s000036152_x1d_optext.fits   1.930000                                                                
35   CAPERS_UDS_V0.1  s000036641  CAPERS_UDS_P5_s000036641_x1d_optext.fits   2.283382                                                                
36   CAPERS_UDS_V0.1  s000037289  CAPERS_UDS_P5_s000037289_x1d_optext.fits   1.041868                                                                
37   CAPERS_UDS_V0.1  s000037438  CAPERS_UDS_P5_s000037438_x1d_optext.fits   5.890000                                                                
38   CAPERS_UDS_V0.1  s000041672  CAPERS_UDS_P5_s000041672_x1d_optext.fits   1.180000                                                                
39   CAPERS_UDS_V0.1  s000073774  CAPERS_UDS_P5_s000073774_x1d_optext.fits   1.470000                                                                
40   CAPERS_UDS_V0.1  s000075425  CAPERS_UDS_P5_s000075425_x1d_optext.fits   1.433789                                                                
41   CAPERS_UDS_V0.1  s000076158  CAPERS_UDS_P5_s000076158_x1d_optext.fits   1.548217                                                                
42   CAPERS_UDS_V0.1  s000093044  CAPERS_UDS_P5_s000093044_x1d_optext.fits   1.950160                                                                
43   CAPERS_UDS_V0.1  s000034289  CAPERS_UDS_P5_s000034289_x1d_optext.fits   0.655180                                                                
44   CAPERS_UDS_V0.1  s000093318  CAPERS_UDS_P5_s000093318_x1d_optext.fits   5.200000                                                                
45   CAPERS_UDS_V0.1  s000095066  CAPERS_UDS_P5_s000095066_x1d_optext.fits   4.430000                                                                
46   CAPERS_UDS_V0.1  s000101777  CAPERS_UDS_P5_s000101777_x1d_optext.fits   5.110000                                                                
47   CAPERS_UDS_V0.1  s000101795  CAPERS_UDS_P1_s000101795_x1d_optext.fits   6.030000                                                                
48   CAPERS_UDS_V0.1  s000101814  CAPERS_UDS_P1_s000101814_x1d_optext.fits   3.039898                                                                
49   CAPERS_UDS_V0.1  s000102124  CAPERS_UDS_P5_s000102124_x1d_optext.fits   2.280000                                                                
50   CAPERS_UDS_V0.1  s000102182  CAPERS_UDS_P1_s000102182_x1d_optext.fits   5.240000                                                                
51   CAPERS_UDS_V0.1  s000102318  CAPERS_UDS_P1_s000102318_x1d_optext.fits   4.520000                                                                
52   CAPERS_UDS_V0.1  s000102363  CAPERS_UDS_P5_s000102363_x1d_optext.fits   3.220000                                                                
53   CAPERS_UDS_V0.1  s000102481  CAPERS_UDS_P1_s000102481_x1d_optext.fits   4.700000                                                                
54   CAPERS_UDS_V0.1  s000101720  CAPERS_UDS_P1_s000101720_x1d_optext.fits   2.510000                                                                
55   CAPERS_UDS_V0.1  s000102537  CAPERS_UDS_P1_s000102537_x1d_optext.fits   0.302073                                                                
56   CAPERS_UDS_V0.1  s000102986  CAPERS_UDS_P1_s000102986_x1d_optext.fits   3.220000                                                                
57   CAPERS_UDS_V0.1  s000103227  CAPERS_UDS_P1_s000103227_x1d_optext.fits   5.050000                                                                
58   CAPERS_UDS_V0.1  s000103256  CAPERS_UDS_P1_s000103256_x1d_optext.fits   2.549834                                                                
59   CAPERS_UDS_V0.1  s000103610  CAPERS_UDS_P1_s000103610_x1d_optext.fits   3.200000                                              Background_object?
60   CAPERS_UDS_V0.1  s000103792  CAPERS_UDS_P1_s000103792_x1d_optext.fits   0.842955                                                                
61   CAPERS_UDS_V0.1  s000103825  CAPERS_UDS_P5_s000103825_x1d_optext.fits   3.590695                          Lower_redshift_than_expected,_no_lines
62   CAPERS_UDS_V0.1  s000104320  CAPERS_UDS_P1_s000104320_x1d_optext.fits   2.489323                                                                
63   CAPERS_UDS_V0.1  s000104422  CAPERS_UDS_P1_s000104422_x1d_optext.fits   3.700000                                                                
64   CAPERS_UDS_V0.1  s000102811  CAPERS_UDS_P1_s000102811_x1d_optext.fits   3.250000                                                                
65   CAPERS_UDS_V0.1  s000101007  CAPERS_UDS_P1_s000101007_x1d_optext.fits   2.940000                                   Higher_redshift_than_expected
66   CAPERS_UDS_V0.1  s000100825  CAPERS_UDS_P1_s000100825_x1d_optext.fits   2.790000                                                                
67   CAPERS_UDS_V0.1  s000100800  CAPERS_UDS_P1_s000100800_x1d_optext.fits   1.730400                                                                
68   CAPERS_UDS_V0.1  s000095747  CAPERS_UDS_P5_s000095747_x1d_optext.fits   3.642657                                                                
69   CAPERS_UDS_V0.1  s000095782  CAPERS_UDS_P5_s000095782_x1d_optext.fits   7.240000                                                                
70   CAPERS_UDS_V0.1  s000096205  CAPERS_UDS_P5_s000096205_x1d_optext.fits   1.930000                                                                
71   CAPERS_UDS_V0.1  s000096539  CAPERS_UDS_P5_s000096539_x1d_optext.fits   2.710000                                                                
72   CAPERS_UDS_V0.1  s000096580  CAPERS_UDS_P5_s000096580_x1d_optext.fits   6.090000                                                                
73   CAPERS_UDS_V0.1  s000096594  CAPERS_UDS_P5_s000096594_x1d_optext.fits   1.460000                                                                
74   CAPERS_UDS_V0.1  s000097121  CAPERS_UDS_P5_s000097121_x1d_optext.fits   6.760000                                                                
75   CAPERS_UDS_V0.1  s000097250  CAPERS_UDS_P5_s000097250_x1d_optext.fits   5.114444                                                                
76   CAPERS_UDS_V0.1  s000098509  CAPERS_UDS_P5_s000098509_x1d_optext.fits   3.330000                                                                
77   CAPERS_UDS_V0.1  s000098579  CAPERS_UDS_P5_s000098579_x1d_optext.fits   2.280000                                                                
78   CAPERS_UDS_V0.1  s000098823  CAPERS_UDS_P1_s000098823_x1d_optext.fits   1.754673                                                                
79   CAPERS_UDS_V0.1  s000098844  CAPERS_UDS_P5_s000098844_x1d_optext.fits   6.930000                                                                
80   CAPERS_UDS_V0.1  s000099670  CAPERS_UDS_P1_s000099670_x1d_optext.fits   2.630000                                                                
81   CAPERS_UDS_V0.1  s000099800  CAPERS_UDS_P1_s000099800_x1d_optext.fits   3.300000                                                                
82   CAPERS_UDS_V0.1  s000100012  CAPERS_UDS_P1_s000100012_x1d_optext.fits   2.370000                                                                
83   CAPERS_UDS_V0.1  s000100039  CAPERS_UDS_P5_s000100039_x1d_optext.fits   1.610000                                                                
84   CAPERS_UDS_V0.1  s000100215  CAPERS_UDS_P5_s000100215_x1d_optext.fits   6.618087                                                                
85   CAPERS_UDS_V0.1  s000100661  CAPERS_UDS_P1_s000100661_x1d_optext.fits   1.372946                                                                
86   CAPERS_UDS_V0.1  s000100728  CAPERS_UDS_P1_s000100728_x1d_optext.fits   4.370000                                                                
87   CAPERS_UDS_V0.1  s000094985  CAPERS_UDS_P5_s000094985_x1d_optext.fits   3.700000                                   Higher_redshift_than_expected
88   CAPERS_UDS_V0.1  s000034233  CAPERS_UDS_P5_s000034233_x1d_optext.fits   0.521286                                                                
89   CAPERS_UDS_V0.1  s000033767  CAPERS_UDS_P5_s000033767_x1d_optext.fits   1.665449                                                                
90   CAPERS_UDS_V0.1  s000033755  CAPERS_UDS_P5_s000033755_x1d_optext.fits   6.980000                                                                
91   CAPERS_UDS_V0.1  s000025494  CAPERS_UDS_P1_s000025494_x1d_optext.fits   3.710000                                                                
92   CAPERS_UDS_V0.1  s000025496  CAPERS_UDS_P1_s000025496_x1d_optext.fits   2.078226                                                                
93   CAPERS_UDS_V0.1  s000025528  CAPERS_UDS_P5_s000025528_x1d_optext.fits   0.973326                                                                
94   CAPERS_UDS_V0.1  s000025628  CAPERS_UDS_P1_s000025628_x1d_optext.fits   1.383429                                                                
95   CAPERS_UDS_V0.1  s000025720  CAPERS_UDS_P5_s000025720_x1d_optext.fits   3.121074                                                                
96   CAPERS_UDS_V0.1  s000025938  CAPERS_UDS_P5_s000025938_x1d_optext.fits   5.770000                                                                
97   CAPERS_UDS_V0.1  s000025947  CAPERS_UDS_P1_s000025947_x1d_optext.fits   0.799630                                                                
98   CAPERS_UDS_V0.1  s000026127  CAPERS_UDS_P1_s000026127_x1d_optext.fits   5.320000                                                                
99   CAPERS_UDS_V0.1  s000025410  CAPERS_UDS_P5_s000025410_x1d_optext.fits   1.703716                                                                
100  CAPERS_UDS_V0.1  s000026208  CAPERS_UDS_P1_s000026208_x1d_optext.fits   4.904036                                                                
101  CAPERS_UDS_V0.1  s000026351  CAPERS_UDS_P1_s000026351_x1d_optext.fits   0.426774                                                                
102  CAPERS_UDS_V0.1  s000026405  CAPERS_UDS_P5_s000026405_x1d_optext.fits   3.526631                                                                
103  CAPERS_UDS_V0.1  s000026515  CAPERS_UDS_P1_s000026515_x1d_optext.fits   0.800060                                                                
104  CAPERS_UDS_V0.1  s000026531  CAPERS_UDS_P5_s000026531_x1d_optext.fits   1.850000                                                                
