#file	Best_z	Cand_z_2	Cand_z_3	Cand_z_4
CAPERS_UDS_P1_s000021061_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117663_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022235_x1d.fits	1.6086	nan	nan	nan
CAPERS_UDS_P1_s000018720_x1d.fits	2.2137	3.2845	nan	nan
CAPERS_UDS_P1_s000108842_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151195_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022904_x1d.fits	3.8752	5.5558	nan	nan
CAPERS_UDS_P1_s000019309_x1d.fits	4.3745	2.6459	1.7383	1.7575
CAPERS_UDS_P1_s000116872_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000116343_x1d.fits	7.1549	nan	nan	nan
CAPERS_UDS_P1_s000012122_x1d.fits	3.539	5.1429	5.0852	5.1092
CAPERS_UDS_P1_s000013724_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000149663_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000012509_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000154203_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023597_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000118225_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017454_x1d.fits	1.1429	4.6291	3.1741	nan
CAPERS_UDS_P1_s000025250_x1d.fits	6.9196	2.0744	5.042	nan
CAPERS_UDS_P1_s000105454_x1d.fits	4.946	6.9772	6.7659	nan
CAPERS_UDS_P1_s000022431_x1d.fits	6.886	nan	nan	nan
CAPERS_UDS_P1_s000024678_x1d.fits	2.2905	3.419	0.6819	nan
CAPERS_UDS_P1_s000021848_x1d.fits	1.1669	nan	nan	nan
CAPERS_UDS_P1_s000104175_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016528_x1d.fits	5.8535	1.6615	nan	nan
CAPERS_UDS_P1_s000109499_x1d.fits	3.7167	5.3397	nan	nan
CAPERS_UDS_P1_s000018906_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023342_x1d.fits	1.2773	2.06	nan	nan
CAPERS_UDS_P1_s000117620_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000107315_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018505_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023203_x1d.fits	1.0996	nan	nan	nan
CAPERS_UDS_P1_s000023064_x1d.fits	1.6999	2.6363	nan	nan
CAPERS_UDS_P1_s000020901_x1d.fits	3.7791	2.545	nan	nan
CAPERS_UDS_P1_s000013245_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000105324_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104744_x1d.fits	2.8043	nan	nan	nan
CAPERS_UDS_P1_s000152985_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014643_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015980_x1d.fits	2.5498	3.7695	0.8115	nan
CAPERS_UDS_P1_s000103343_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000111987_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000118327_x1d.fits	3.8703	5.5462	nan	nan
CAPERS_UDS_P1_s000100809_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000107558_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000099791_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000150553_x1d.fits	4.1489	5.9208	nan	nan
CAPERS_UDS_P1_s000019088_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000112506_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000102254_x1d.fits	3.5198	2.3529	0.3169	0.7155
CAPERS_UDS_P1_s000113300_x1d.fits	2.6315	0.8499	3.88	nan
CAPERS_UDS_P1_s000017306_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000101733_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024711_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000026616_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024710_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104843_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000115149_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016842_x1d.fits	3.2989	4.7875	1.1957	3.4334
CAPERS_UDS_P1_s000013141_x1d.fits	6.6026	4.8019	1.5798	4.6339
CAPERS_UDS_P1_s000153725_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000114647_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022608_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024501_x1d.fits	1.2725	nan	nan	nan
CAPERS_UDS_P1_s000103256_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000153207_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117357_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025394_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015947_x1d.fits	3.1309	4.557	nan	nan
CAPERS_UDS_P1_s000023512_x1d.fits	5.2101	3.2509	0.6146	2.1561
CAPERS_UDS_P1_s000023982_x1d.fits	5.8055	4.1921	4.072	nan
CAPERS_UDS_P1_s000153789_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000110610_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016543_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023924_x1d.fits	2.521	3.7839	0.8163	nan
CAPERS_UDS_P1_s000102926_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104849_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117222_x1d.fits	3.7071	5.3301	nan	nan
CAPERS_UDS_P1_s000152574_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023072_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000115417_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000111758_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000145668_x1d.fits	4.1345	5.9256	nan	nan
CAPERS_UDS_P1_s000020632_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000013099_x1d.fits	0.5858	1.1381	nan	nan
CAPERS_UDS_P1_s000020100_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000020366_x1d.fits	2.8908	0.9796	4.2209	nan
CAPERS_UDS_P1_s000026208_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000101102_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000119540_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000115091_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104491_x1d.fits	3.6975	5.3157	nan	nan
CAPERS_UDS_P1_s000024085_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117640_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000160247_x1d.fits	0.2449	nan	nan	nan
CAPERS_UDS_P1_s000102811_x1d.fits	3.2413	4.6963	nan	nan
CAPERS_UDS_P1_s000102481_x1d.fits	4.7107	6.6747	nan	nan
CAPERS_UDS_P1_s000014879_x1d.fits	0.9556	2.3241	nan	nan
CAPERS_UDS_P1_s000118331_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022179_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022603_x1d.fits	1.7095	nan	nan	nan
CAPERS_UDS_P1_s000018170_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000101795_x1d.fits	6.0312	nan	nan	nan
CAPERS_UDS_P1_s000113769_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000101007_x1d.fits	2.9292	4.2833	nan	nan
CAPERS_UDS_P1_s000108558_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117414_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018198_x1d.fits	0.7443	1.3493	nan	nan
CAPERS_UDS_P1_s000103227_x1d.fits	5.0612	7.1453	nan	nan
CAPERS_UDS_P1_s000018075_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025393_x1d.fits	3.6831	5.3061	nan	nan
CAPERS_UDS_P1_s000117969_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000017762_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000116484_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000102986_x1d.fits	3.2125	4.6579	nan	nan
CAPERS_UDS_P1_s000112618_x1d.fits	4.8932	6.9244	nan	nan
CAPERS_UDS_P1_s000025628_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000102318_x1d.fits	4.5234	6.4346	nan	nan
CAPERS_UDS_P1_s000152715_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000154040_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015577_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014502_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000108146_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025494_x1d.fits	3.6927	5.3301	nan	nan
CAPERS_UDS_P1_s000024309_x1d.fits	3.6975	5.3157	nan	nan
CAPERS_UDS_P1_s000018515_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022267_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018960_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117381_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000152110_x1d.fits	2.7323	4.0624	5.1717	nan
CAPERS_UDS_P1_s000026900_x1d.fits	1.8487	2.8475	nan	nan
CAPERS_UDS_P1_s000023731_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000111594_x1d.fits	5.2245	7.3565	nan	nan
CAPERS_UDS_P1_s000013701_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000100361_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000147757_x1d.fits	3.1261	4.5474	nan	nan
CAPERS_UDS_P1_s000016838_x1d.fits	nan	nan	nan	nan
